Total nodes: 500             Security parameter: 30              Total Byzantine ratio: 20             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          318            1-2^(30)       
RapidChain     33.3%          49%            49%            192            1-2^(30)       
AHL            30%            49%            49%            149            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          87             1-2^(30)       
RIVET          33.3%          49%            49%            192            1-2^(30)       
CoChain        33.3%          66%            66%            67             0.6545515646044384
 
GEARBOX        20%            99%            0%             13             0.05283331934453094
GEARBOX        20%            97%            1%             13             0.22985217281847484
GEARBOX        20%            95%            2%             13             0.22985217281847484
GEARBOX        20%            93%            3%             13             0.22985217281847484
GEARBOX        20%            91%            4%             16             0.13647707578749207
GEARBOX        20%            89%            5%             16             0.13647707578749207
GEARBOX        20%            87%            6%             18             0.2664306557828699
GEARBOX        20%            85%            7%             18             0.2664306557828699
GEARBOX        20%            83%            8%             20             0.20044437887079292
GEARBOX        20%            81%            9%             20             0.20044437887079292
GEARBOX        20%            79%            10%            22             0.3268533694434729
GEARBOX        20%            77%            11%            24             0.2574322417458364
GEARBOX        20%            75%            12%            24             0.2574322417458364
GEARBOX        20%            73%            13%            25             0.41663481768769717
GEARBOX        20%            71%            14%            27             0.34213448987731226
GEARBOX        20%            69%            15%            29             0.4600623715064561
GEARBOX        20%            67%            16%            32             0.5343145814852215
GEARBOX        20%            65%            17%            34             0.4625005302378645
GEARBOX        20%            63%            18%            37             0.5317174690798758
GEARBOX        20%            61%            19%            40             0.5945083323155903
GEARBOX        20%            59%            20%            43             0.6507313537702836
GEARBOX        20%            57%            21%            48             0.7690534785685508
GEARBOX        20%            55%            22%            51             0.8046229131012322
GEARBOX        20%            53%            23%            57             0.8615324971401916
GEARBOX        20%            51%            24%            63             0.9030709218970963
GEARBOX        20%            49%            25%            70             0.9234974999671898
GEARBOX        20%            47%            26%            77             0.9674597867914362
GEARBOX        20%            45%            27%            87             0.9793828244416651
GEARBOX        20%            43%            28%            98             0.9925514132829701
GEARBOX        20%            41%            29%            113            0.997663165427233
GEARBOX        20%            39%            30%            129            0.9996600191077056
GEARBOX        20%            37%            31%            149            0.9999871086156447
GEARBOX        20%            35%            32%            175            0.9999996146400519
GEARBOX        20%            33%            33%            204            0.9999999998237661
 
 
ARETE          20%            99%            0%             13             0.05283331934453094
ARETE          20%            98%            1%             13             0.22985217281847484
ARETE          20%            97%            2%             13             0.22985217281847484
ARETE          20%            96%            3%             13             0.22985217281847484
ARETE          20%            95%            4%             13             0.22985217281847484
ARETE          20%            94%            5%             13             0.22985217281847484
ARETE          20%            93%            6%             13             0.22985217281847484
ARETE          20%            92%            7%             16             0.3480832490761996
ARETE          20%            91%            8%             16             0.3480832490761996
ARETE          20%            90%            9%             16             0.3480832490761996
ARETE          20%            89%            10%            16             0.3480832490761996
ARETE          20%            88%            11%            16             0.3480832490761996
ARETE          20%            87%            12%            18             0.4992709471673109
ARETE          20%            86%            13%            18             0.4992709471673109
ARETE          20%            85%            14%            18             0.4992709471673109
ARETE          20%            84%            15%            18             0.4992709471673109
ARETE          20%            83%            16%            20             0.6305656166542801
ARETE          20%            82%            17%            20             0.6305656166542801
ARETE          20%            81%            18%            20             0.6305656166542801
ARETE          20%            80%            19%            20             0.6305656166542801
ARETE          20%            79%            20%            22             0.7359880510887626
ARETE          20%            78%            21%            22             0.7359880510887626
ARETE          20%            77%            22%            24             0.8161327644739442
ARETE          20%            76%            23%            24             0.8161327644739442
ARETE          20%            75%            24%            24             0.8161327644739442
ARETE          20%            74%            25%            25             0.8965108493292369
ARETE          20%            73%            26%            25             0.8965108493292369
ARETE          20%            72%            27%            25             0.8965108493292369
ARETE          20%            71%            28%            27             0.9319019882721555
ARETE          20%            70%            29%            29             0.9558158794542844
ARETE          20%            69%            30%            29             0.9558158794542844
ARETE          20%            68%            31%            31             0.9716853946617066
ARETE          20%            67%            32%            32             0.9862880684613631
ARETE          20%            66%            33%            32             0.9862880684613631
ARETE          20%            65%            34%            34             0.9915005792612677
ARETE          20%            64%            35%            36             0.9947765929155861
ARETE          20%            63%            36%            37             0.9976849954343728
ARETE          20%            62%            37%            39             0.9986124860588218
ARETE          20%            61%            38%            40             0.9994199073499592
ARETE          20%            60%            39%            40             0.9994199073499592
ARETE          20%            59%            40%            43             0.9998649516599486
ARETE          20%            58%            41%            45             0.9999222539499947
ARETE          20%            57%            42%            48             0.9999833579322733
ARETE          20%            56%            43%            50             0.999990642462979
ARETE          20%            55%            44%            51             0.9999966470658991
ARETE          20%            54%            45%            54             0.9999993621707243
ARETE          20%            53%            46%            57             0.999999885185164
ARETE          20%            52%            47%            60             0.9999999804146854
ARETE          20%            51%            48%            63             0.9999999968314157
ARETE          20%            50%            49%            66             0.9999999995136478
