Total nodes: 1500            Security parameter: 30              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          591            1-2^(30)       
RapidChain     33.3%          49%            49%            276            1-2^(30)       
AHL            30%            49%            49%            194            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          108            1-2^(30)       
RIVET          33.3%          49%            49%            276            1-2^(30)       
CoChain        33.3%          66%            66%            76             0.64296531814965
 
GEARBOX        15%            99%            0%             11             0.16625843531006773
GEARBOX        15%            97%            1%             11             0.49154667830802634
GEARBOX        15%            95%            2%             11             0.49154667830802634
GEARBOX        15%            93%            3%             11             0.49154667830802634
GEARBOX        15%            91%            4%             11             0.49154667830802634
GEARBOX        15%            89%            5%             14             0.355435678310152
GEARBOX        15%            87%            6%             14             0.355435678310152
GEARBOX        15%            85%            7%             16             0.5609971490881906
GEARBOX        15%            83%            8%             16             0.5609971490881906
GEARBOX        15%            81%            9%             17             0.5191252795255806
GEARBOX        15%            79%            10%            17             0.5191252795255806
GEARBOX        15%            77%            11%            17             0.5191252795255806
GEARBOX        15%            75%            12%            19             0.6846132547691189
GEARBOX        15%            73%            13%            21             0.6113035195712421
GEARBOX        15%            71%            14%            23             0.7451258190479919
GEARBOX        15%            69%            15%            24             0.7142958585227279
GEARBOX        15%            67%            16%            24             0.7142958585227279
GEARBOX        15%            65%            17%            28             0.7661376104048475
GEARBOX        15%            63%            18%            29             0.8688550941320747
GEARBOX        15%            61%            19%            32             0.9064635740934194
GEARBOX        15%            59%            20%            34             0.8758329504467351
GEARBOX        15%            57%            21%            37             0.9102670095526454
GEARBOX        15%            55%            22%            40             0.9354147436872058
GEARBOX        15%            53%            23%            44             0.9763180489900265
GEARBOX        15%            51%            24%            50             0.972206272524272
GEARBOX        15%            49%            25%            54             0.9900007342041786
GEARBOX        15%            47%            26%            58             0.9966300088659246
GEARBOX        15%            45%            27%            65             0.9979809473878961
GEARBOX        15%            43%            28%            75             0.9991556055543079
GEARBOX        15%            41%            29%            83             0.9999178041089805
GEARBOX        15%            39%            30%            95             0.9999816434935819
GEARBOX        15%            37%            31%            111            0.9999988712864893
GEARBOX        15%            35%            32%            129            0.9999999677851836
GEARBOX        15%            33%            33%            152            0.9999999997448068
 
 
ARETE          15%            99%            0%             11             0.16625843531006773
ARETE          15%            98%            1%             11             0.49154667830802634
ARETE          15%            97%            2%             11             0.49154667830802634
ARETE          15%            96%            3%             11             0.49154667830802634
ARETE          15%            95%            4%             11             0.49154667830802634
ARETE          15%            94%            5%             11             0.49154667830802634
ARETE          15%            93%            6%             11             0.49154667830802634
ARETE          15%            92%            7%             11             0.49154667830802634
ARETE          15%            91%            8%             11             0.49154667830802634
ARETE          15%            90%            9%             14             0.647981631045706
ARETE          15%            89%            10%            14             0.647981631045706
ARETE          15%            88%            11%            14             0.647981631045706
ARETE          15%            87%            12%            14             0.647981631045706
ARETE          15%            86%            13%            14             0.647981631045706
ARETE          15%            85%            14%            16             0.790772627702239
ARETE          15%            84%            15%            16             0.790772627702239
ARETE          15%            83%            16%            16             0.790772627702239
ARETE          15%            82%            17%            16             0.790772627702239
ARETE          15%            81%            18%            17             0.9024862448316432
ARETE          15%            80%            19%            17             0.9024862448316432
ARETE          15%            79%            20%            17             0.9024862448316432
ARETE          15%            78%            21%            17             0.9024862448316432
ARETE          15%            77%            22%            17             0.9024862448316432
ARETE          15%            76%            23%            19             0.9474545279533736
ARETE          15%            75%            24%            19             0.9474545279533736
ARETE          15%            74%            25%            19             0.9474545279533736
ARETE          15%            73%            26%            21             0.9722121387689053
ARETE          15%            72%            27%            21             0.9722121387689053
ARETE          15%            71%            28%            23             0.9855146330626927
ARETE          15%            70%            29%            23             0.9855146330626927
ARETE          15%            69%            30%            24             0.9945208071471311
ARETE          15%            68%            31%            24             0.9945208071471311
ARETE          15%            67%            32%            24             0.9945208071471311
ARETE          15%            66%            33%            26             0.9972437707171004
ARETE          15%            65%            34%            28             0.9986220235620392
ARETE          15%            64%            35%            29             0.9995268276009995
ARETE          15%            63%            36%            29             0.9995268276009995
ARETE          15%            62%            37%            31             0.9997681123742018
ARETE          15%            61%            38%            32             0.9999248651444638
ARETE          15%            60%            39%            32             0.9999248651444638
ARETE          15%            59%            40%            34             0.9999636817264563
ARETE          15%            58%            41%            35             0.9999887834175192
ARETE          15%            57%            42%            37             0.9999946318662851
ARETE          15%            56%            43%            38             0.9999984081327238
ARETE          15%            55%            44%            40             0.999999243894138
ARETE          15%            54%            45%            41             0.9999997835367
ARETE          15%            53%            46%            44             0.9999999716368032
ARETE          15%            52%            47%            47             0.9999999964038401
ARETE          15%            51%            48%            50             0.999999997079816
ARETE          15%            50%            49%            50             0.9999999995574081
