Total nodes: 500             Security parameter: 30              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          318            1-2^(30)       
RapidChain     33.3%          49%            49%            192            1-2^(30)       
AHL            30%            49%            49%            149            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          87             1-2^(30)       
RIVET          33.3%          49%            49%            192            1-2^(30)       
CoChain        33.3%          66%            66%            67             0.6545515646044384
 
GEARBOX        15%            99%            0%             11             0.1640767625601731
GEARBOX        15%            97%            1%             11             0.4902534592159389
GEARBOX        15%            95%            2%             11             0.4902534592159389
GEARBOX        15%            93%            3%             11             0.4902534592159389
GEARBOX        15%            91%            4%             11             0.4902534592159389
GEARBOX        15%            89%            5%             13             0.39510106868935174
GEARBOX        15%            87%            6%             13             0.39510106868935174
GEARBOX        15%            85%            7%             13             0.39510106868935174
GEARBOX        15%            83%            8%             15             0.6037926471632235
GEARBOX        15%            81%            9%             15             0.6037926471632235
GEARBOX        15%            79%            10%            17             0.5178398523326747
GEARBOX        15%            77%            11%            17             0.5178398523326747
GEARBOX        15%            75%            12%            19             0.6855820648248767
GEARBOX        15%            73%            13%            21             0.6113256258208778
GEARBOX        15%            71%            14%            22             0.7775594221830087
GEARBOX        15%            69%            15%            22             0.7775594221830087
GEARBOX        15%            67%            16%            24             0.7162097995091471
GEARBOX        15%            65%            17%            25             0.8438273882117385
GEARBOX        15%            63%            18%            27             0.7954500344663857
GEARBOX        15%            61%            19%            28             0.8910347497392673
GEARBOX        15%            59%            20%            31             0.9243940073983429
GEARBOX        15%            57%            21%            34             0.9478159980142757
GEARBOX        15%            55%            22%            37             0.9641682081148828
GEARBOX        15%            53%            23%            40             0.9755243461572987
GEARBOX        15%            51%            24%            44             0.979921010089603
GEARBOX        15%            49%            25%            47             0.9863585880779859
GEARBOX        15%            47%            26%            54             0.997299730674111
GEARBOX        15%            45%            27%            58             0.9977905444289747
GEARBOX        15%            43%            28%            63             0.9992479524949693
GEARBOX        15%            41%            29%            71             0.9998454659791989
GEARBOX        15%            39%            30%            83             0.999977079261137
GEARBOX        15%            37%            31%            92             0.9999987035351332
GEARBOX        15%            35%            32%            103            0.999999897689212
GEARBOX        15%            33%            33%            122            0.9999999998794616
 
 
ARETE          15%            99%            0%             11             0.1640767625601731
ARETE          15%            98%            1%             11             0.4902534592159389
ARETE          15%            97%            2%             11             0.4902534592159389
ARETE          15%            96%            3%             11             0.4902534592159389
ARETE          15%            95%            4%             11             0.4902534592159389
ARETE          15%            94%            5%             11             0.4902534592159389
ARETE          15%            93%            6%             11             0.4902534592159389
ARETE          15%            92%            7%             11             0.4902534592159389
ARETE          15%            91%            8%             11             0.4902534592159389
ARETE          15%            90%            9%             13             0.6927511345325703
ARETE          15%            89%            10%            13             0.6927511345325703
ARETE          15%            88%            11%            13             0.6927511345325703
ARETE          15%            87%            12%            13             0.6927511345325703
ARETE          15%            86%            13%            13             0.6927511345325703
ARETE          15%            85%            14%            13             0.6927511345325703
ARETE          15%            84%            15%            15             0.8255003324026173
ARETE          15%            83%            16%            15             0.8255003324026173
ARETE          15%            82%            17%            15             0.8255003324026173
ARETE          15%            81%            18%            15             0.8255003324026173
ARETE          15%            80%            19%            15             0.8255003324026173
ARETE          15%            79%            20%            17             0.9049274837099874
ARETE          15%            78%            21%            17             0.9049274837099874
ARETE          15%            77%            22%            17             0.9049274837099874
ARETE          15%            76%            23%            19             0.9497841275405584
ARETE          15%            75%            24%            19             0.9497841275405584
ARETE          15%            74%            25%            19             0.9497841275405584
ARETE          15%            73%            26%            21             0.974119217197737
ARETE          15%            72%            27%            21             0.974119217197737
ARETE          15%            71%            28%            22             0.9903074090672199
ARETE          15%            70%            29%            22             0.9903074090672199
ARETE          15%            69%            30%            22             0.9903074090672199
ARETE          15%            68%            31%            24             0.9952764757327278
ARETE          15%            67%            32%            24             0.9952764757327278
ARETE          15%            66%            33%            25             0.9984094057226136
ARETE          15%            65%            34%            25             0.9984094057226136
ARETE          15%            64%            35%            25             0.9984094057226136
ARETE          15%            63%            36%            27             0.9992551768042436
ARETE          15%            62%            37%            28             0.9997698868577802
ARETE          15%            61%            38%            28             0.9997698868577802
ARETE          15%            60%            39%            30             0.9998955755068564
ARETE          15%            59%            40%            31             0.9999700120743485
ARETE          15%            58%            41%            33             0.9999867522107965
ARETE          15%            57%            42%            34             0.9999964327713924
ARETE          15%            56%            43%            34             0.9999964327713924
ARETE          15%            55%            44%            37             0.9999996094511222
ARETE          15%            54%            45%            39             0.9999998355868672
ARETE          15%            53%            46%            40             0.9999999604481283
ARETE          15%            52%            47%            43             0.9999999962841998
ARETE          15%            51%            48%            44             0.9999999991820216
ARETE          15%            50%            49%            44             0.9999999991820216
