Total nodes: 500             Security parameter: 10              Total Byzantine ratio: 25             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          168            1-2^(10)       
RapidChain     33.3%          49%            49%            72             1-2^(10)       
AHL            30%            49%            49%            49             1-2^(10)       
Pyramid        12.5%          33.3%          33.3%          27             1-2^(10)       
RIVET          33.3%          49%            49%            72             1-2^(10)       
CoChain        33.3%          66%            66%            20             0.6758982218996378
 
Beacon/Order   25%            33.3%          33.3%          168            1-2^(10)       
 
GEARBOX        25%            99%            0%             5              0.23571683074276842
GEARBOX        25%            97%            1%             5              0.6328139175735777
GEARBOX        25%            95%            2%             5              0.6328139175735777
GEARBOX        25%            93%            3%             5              0.6328139175735777
GEARBOX        25%            91%            4%             5              0.6328139175735777
GEARBOX        25%            89%            5%             5              0.6328139175735777
GEARBOX        25%            87%            6%             5              0.6328139175735777
GEARBOX        25%            85%            7%             5              0.6328139175735777
GEARBOX        25%            83%            8%             5              0.6328139175735777
GEARBOX        25%            81%            9%             5              0.6328139175735777
GEARBOX        25%            79%            10%            8              0.36519574917442993
GEARBOX        25%            77%            11%            8              0.36519574917442993
GEARBOX        25%            75%            12%            8              0.36519574917442993
GEARBOX        25%            73%            13%            10             0.524835349575363
GEARBOX        25%            71%            14%            10             0.524835349575363
GEARBOX        25%            69%            15%            12             0.3883197640948114
GEARBOX        25%            67%            16%            12             0.3883197640948114
GEARBOX        25%            65%            17%            13             0.5842595905649418
GEARBOX        25%            63%            18%            13             0.5842595905649418
GEARBOX        25%            61%            19%            15             0.459454137549861
GEARBOX        25%            59%            20%            17             0.5738969547880131
GEARBOX        25%            57%            21%            20             0.6182289065697043
GEARBOX        25%            55%            22%            20             0.6182289065697043
GEARBOX        25%            53%            23%            23             0.6559164948811388
GEARBOX        25%            51%            24%            28             0.6010221037267225
GEARBOX        25%            49%            25%            31             0.6363871225786129
GEARBOX        25%            47%            26%            39             0.7543984705369318
GEARBOX        25%            45%            27%            45             0.7940170069207414
GEARBOX        25%            43%            28%            54             0.8411205344083119
GEARBOX        25%            41%            29%            61             0.8473901522867971
GEARBOX        25%            39%            30%            77             0.931203708182779
GEARBOX        25%            37%            31%            100            0.9513815890898418
GEARBOX        25%            35%            32%            132            0.9922908570917789
GEARBOX        25%            33%            33%            176            0.9995389895512862
 
 
ARETE          25%            99%            0%             5              0.23571683074276842
ARETE          25%            98%            1%             5              0.6328139175735777
ARETE          25%            97%            2%             5              0.6328139175735777
ARETE          25%            96%            3%             5              0.6328139175735777
ARETE          25%            95%            4%             5              0.6328139175735777
ARETE          25%            94%            5%             5              0.6328139175735777
ARETE          25%            93%            6%             5              0.6328139175735777
ARETE          25%            92%            7%             5              0.6328139175735777
ARETE          25%            91%            8%             5              0.6328139175735777
ARETE          25%            90%            9%             5              0.6328139175735777
ARETE          25%            89%            10%            5              0.6328139175735777
ARETE          25%            88%            11%            5              0.6328139175735777
ARETE          25%            87%            12%            5              0.6328139175735777
ARETE          25%            86%            13%            5              0.6328139175735777
ARETE          25%            85%            14%            5              0.6328139175735777
ARETE          25%            84%            15%            5              0.6328139175735777
ARETE          25%            83%            16%            5              0.6328139175735777
ARETE          25%            82%            17%            5              0.6328139175735777
ARETE          25%            81%            18%            5              0.6328139175735777
ARETE          25%            80%            19%            5              0.6328139175735777
ARETE          25%            79%            20%            8              0.6791764682462508
ARETE          25%            78%            21%            8              0.6791764682462508
ARETE          25%            77%            22%            8              0.6791764682462508
ARETE          25%            76%            23%            8              0.6791764682462508
ARETE          25%            75%            24%            8              0.6791764682462508
ARETE          25%            74%            25%            10             0.7776551459184716
ARETE          25%            73%            26%            10             0.7776551459184716
ARETE          25%            72%            27%            10             0.7776551459184716
ARETE          25%            71%            28%            10             0.7776551459184716
ARETE          25%            70%            29%            10             0.7776551459184716
ARETE          25%            69%            30%            12             0.8449787965401835
ARETE          25%            68%            31%            12             0.8449787965401835
ARETE          25%            67%            32%            12             0.8449787965401835
ARETE          25%            66%            33%            13             0.9225004935523441
ARETE          25%            65%            34%            13             0.9225004935523441
ARETE          25%            64%            35%            13             0.9225004935523441
ARETE          25%            63%            36%            13             0.9225004935523441
ARETE          25%            62%            37%            13             0.9225004935523441
ARETE          25%            61%            38%            15             0.9461534513173333
ARETE          25%            60%            39%            15             0.9461534513173333
ARETE          25%            59%            40%            17             0.9624460825476938
ARETE          25%            58%            41%            19             0.9737467411905258
ARETE          25%            57%            42%            20             0.9877946331858326
ARETE          25%            56%            43%            20             0.9877946331858326
ARETE          25%            55%            44%            20             0.9877946331858326
ARETE          25%            54%            45%            23             0.996212089904039
ARETE          25%            53%            46%            23             0.996212089904039
ARETE          25%            52%            47%            25             0.997352382867892
ARETE          25%            51%            48%            28             0.9992080897002775
ARETE          25%            50%            49%            28             0.9992080897002775
