Total nodes: 500             Security parameter: 20              Total Byzantine ratio: 20             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          267            1-2^(20)       
RapidChain     33.3%          49%            49%            141            1-2^(20)       
AHL            30%            49%            49%            109            1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          60             1-2^(20)       
RIVET          33.3%          49%            49%            141            1-2^(20)       
CoChain        33.3%          66%            66%            44             0.6340551283468906
 
GEARBOX        20%            99%            0%             9              0.13179273138890912
GEARBOX        20%            97%            1%             9              0.43437808406752704
GEARBOX        20%            95%            2%             9              0.43437808406752704
GEARBOX        20%            93%            3%             9              0.43437808406752704
GEARBOX        20%            91%            4%             9              0.43437808406752704
GEARBOX        20%            89%            5%             9              0.43437808406752704
GEARBOX        20%            87%            6%             11             0.31913681940173977
GEARBOX        20%            85%            7%             11             0.31913681940173977
GEARBOX        20%            83%            8%             11             0.31913681940173977
GEARBOX        20%            81%            9%             13             0.5001585968892271
GEARBOX        20%            79%            10%            13             0.5001585968892271
GEARBOX        20%            77%            11%            13             0.5001585968892271
GEARBOX        20%            75%            12%            15             0.3949701466459843
GEARBOX        20%            73%            13%            17             0.5480306800349508
GEARBOX        20%            71%            14%            17             0.5480306800349508
GEARBOX        20%            69%            15%            19             0.45241304620405204
GEARBOX        20%            67%            16%            21             0.5860274740417231
GEARBOX        20%            65%            17%            22             0.5419214219690643
GEARBOX        20%            63%            18%            24             0.6578468432340888
GEARBOX        20%            61%            19%            27             0.7172353021842722
GEARBOX        20%            59%            20%            29             0.6450501051340825
GEARBOX        20%            57%            21%            30             0.7663553766242033
GEARBOX        20%            55%            22%            33             0.807007152466141
GEARBOX        20%            53%            23%            36             0.8406706377315757
GEARBOX        20%            51%            24%            42             0.8916668592021963
GEARBOX        20%            49%            25%            45             0.9108124531915683
GEARBOX        20%            47%            26%            54             0.9506531629063062
GEARBOX        20%            45%            27%            58             0.9524947783086303
GEARBOX        20%            43%            28%            68             0.9851835060478759
GEARBOX        20%            41%            29%            79             0.9888368117954486
GEARBOX        20%            39%            30%            90             0.996195648674799
GEARBOX        20%            37%            31%            109            0.999543144462455
GEARBOX        20%            35%            32%            126            0.9999741848360068
GEARBOX        20%            33%            33%            155            0.9999997791354438
 
 
ARETE          20%            99%            0%             9              0.13179273138890912
ARETE          20%            98%            1%             9              0.43437808406752704
ARETE          20%            97%            2%             9              0.43437808406752704
ARETE          20%            96%            3%             9              0.43437808406752704
ARETE          20%            95%            4%             9              0.43437808406752704
ARETE          20%            94%            5%             9              0.43437808406752704
ARETE          20%            93%            6%             9              0.43437808406752704
ARETE          20%            92%            7%             9              0.43437808406752704
ARETE          20%            91%            8%             9              0.43437808406752704
ARETE          20%            90%            9%             9              0.43437808406752704
ARETE          20%            89%            10%            9              0.43437808406752704
ARETE          20%            88%            11%            11             0.6174083279484833
ARETE          20%            87%            12%            11             0.6174083279484833
ARETE          20%            86%            13%            11             0.6174083279484833
ARETE          20%            85%            14%            11             0.6174083279484833
ARETE          20%            84%            15%            11             0.6174083279484833
ARETE          20%            83%            16%            11             0.6174083279484833
ARETE          20%            82%            17%            11             0.6174083279484833
ARETE          20%            81%            18%            13             0.7492101568450144
ARETE          20%            80%            19%            13             0.7492101568450144
ARETE          20%            79%            20%            13             0.7492101568450144
ARETE          20%            78%            21%            13             0.7492101568450144
ARETE          20%            77%            22%            13             0.7492101568450144
ARETE          20%            76%            23%            15             0.8389292024695667
ARETE          20%            75%            24%            15             0.8389292024695667
ARETE          20%            74%            25%            15             0.8389292024695667
ARETE          20%            73%            26%            17             0.8980420162184288
ARETE          20%            72%            27%            17             0.8980420162184288
ARETE          20%            71%            28%            17             0.8980420162184288
ARETE          20%            70%            29%            19             0.9361742453612972
ARETE          20%            69%            30%            19             0.9361742453612972
ARETE          20%            68%            31%            21             0.9604062117956402
ARETE          20%            67%            32%            21             0.9604062117956402
ARETE          20%            66%            33%            22             0.9822301062088338
ARETE          20%            65%            34%            22             0.9822301062088338
ARETE          20%            64%            35%            22             0.9822301062088338
ARETE          20%            63%            36%            24             0.9892797192554346
ARETE          20%            62%            37%            26             0.9935649726988215
ARETE          20%            61%            38%            27             0.9973620327119491
ARETE          20%            60%            39%            27             0.9973620327119491
ARETE          20%            59%            40%            29             0.9984450713899957
ARETE          20%            58%            41%            30             0.999398970690542
ARETE          20%            57%            42%            30             0.999398970690542
ARETE          20%            56%            43%            33             0.9998717076259415
ARETE          20%            55%            44%            33             0.9998717076259415
ARETE          20%            54%            45%            36             0.999974147081451
ARETE          20%            53%            46%            36             0.999974147081451
ARETE          20%            52%            47%            39             0.9999950567885264
ARETE          20%            51%            48%            42             0.9999991002270439
ARETE          20%            50%            49%            42             0.9999991002270439
