Total nodes: 500             Security parameter: 10              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          168            1-2^(10)       
RapidChain     33.3%          49%            49%            72             1-2^(10)       
AHL            30%            49%            49%            49             1-2^(10)       
Pyramid        12.5%          33.3%          33.3%          27             1-2^(10)       
RIVET          33.3%          49%            49%            72             1-2^(10)       
CoChain        33.3%          66%            66%            20             0.6758982218996378
 
Beacon/Order   15%            33.3%          33.3%          36             1-2^(10)       
 
GEARBOX        15%            99%            0%             4              0.5208963610962926
GEARBOX        15%            97%            1%             4              0.8912018310699603
GEARBOX        15%            95%            2%             4              0.8912018310699603
GEARBOX        15%            93%            3%             4              0.8912018310699603
GEARBOX        15%            91%            4%             4              0.8912018310699603
GEARBOX        15%            89%            5%             4              0.8912018310699603
GEARBOX        15%            87%            6%             4              0.8912018310699603
GEARBOX        15%            85%            7%             4              0.8912018310699603
GEARBOX        15%            83%            8%             4              0.8912018310699603
GEARBOX        15%            81%            9%             4              0.8912018310699603
GEARBOX        15%            79%            10%            4              0.8912018310699603
GEARBOX        15%            77%            11%            4              0.8912018310699603
GEARBOX        15%            75%            12%            4              0.8912018310699603
GEARBOX        15%            73%            13%            6              0.7770801164008598
GEARBOX        15%            71%            14%            6              0.7770801164008598
GEARBOX        15%            69%            15%            6              0.7770801164008598
GEARBOX        15%            67%            16%            6              0.7770801164008598
GEARBOX        15%            65%            17%            8              0.8963996296297952
GEARBOX        15%            63%            18%            8              0.8963996296297952
GEARBOX        15%            61%            19%            9              0.8608830824744996
GEARBOX        15%            59%            20%            9              0.8608830824744996
GEARBOX        15%            57%            21%            9              0.8608830824744996
GEARBOX        15%            55%            22%            11             0.9327219858775028
GEARBOX        15%            53%            23%            12             0.9102886932883414
GEARBOX        15%            51%            24%            12             0.9102886932883414
GEARBOX        15%            49%            25%            15             0.9411739073101272
GEARBOX        15%            47%            26%            15             0.9411739073101272
GEARBOX        15%            45%            27%            16             0.9784279534968344
GEARBOX        15%            43%            28%            19             0.9855368260791076
GEARBOX        15%            41%            29%            22             0.9903074090672199
GEARBOX        15%            39%            30%            26             0.9912827174561474
GEARBOX        15%            37%            31%            30             0.9978836552932715
GEARBOX        15%            35%            32%            35             0.9993231403171967
GEARBOX        15%            33%            33%            40             0.9997887210274317
 
 
ARETE          15%            99%            0%             4              0.5208963610962926
ARETE          15%            98%            1%             4              0.8912018310699603
ARETE          15%            97%            2%             4              0.8912018310699603
ARETE          15%            96%            3%             4              0.8912018310699603
ARETE          15%            95%            4%             4              0.8912018310699603
ARETE          15%            94%            5%             4              0.8912018310699603
ARETE          15%            93%            6%             4              0.8912018310699603
ARETE          15%            92%            7%             4              0.8912018310699603
ARETE          15%            91%            8%             4              0.8912018310699603
ARETE          15%            90%            9%             4              0.8912018310699603
ARETE          15%            89%            10%            4              0.8912018310699603
ARETE          15%            88%            11%            4              0.8912018310699603
ARETE          15%            87%            12%            4              0.8912018310699603
ARETE          15%            86%            13%            4              0.8912018310699603
ARETE          15%            85%            14%            4              0.8912018310699603
ARETE          15%            84%            15%            4              0.8912018310699603
ARETE          15%            83%            16%            4              0.8912018310699603
ARETE          15%            82%            17%            4              0.8912018310699603
ARETE          15%            81%            18%            4              0.8912018310699603
ARETE          15%            80%            19%            4              0.8912018310699603
ARETE          15%            79%            20%            4              0.8912018310699603
ARETE          15%            78%            21%            4              0.8912018310699603
ARETE          15%            77%            22%            4              0.8912018310699603
ARETE          15%            76%            23%            4              0.8912018310699603
ARETE          15%            75%            24%            4              0.8912018310699603
ARETE          15%            74%            25%            6              0.9537036992505924
ARETE          15%            73%            26%            6              0.9537036992505924
ARETE          15%            72%            27%            6              0.9537036992505924
ARETE          15%            71%            28%            6              0.9537036992505924
ARETE          15%            70%            29%            6              0.9537036992505924
ARETE          15%            69%            30%            6              0.9537036992505924
ARETE          15%            68%            31%            6              0.9537036992505924
ARETE          15%            67%            32%            6              0.9537036992505924
ARETE          15%            66%            33%            8              0.9796098258222019
ARETE          15%            65%            34%            8              0.9796098258222019
ARETE          15%            64%            35%            8              0.9796098258222019
ARETE          15%            63%            36%            8              0.9796098258222019
ARETE          15%            62%            37%            9              0.9948312031744714
ARETE          15%            61%            38%            9              0.9948312031744714
ARETE          15%            60%            39%            9              0.9948312031744714
ARETE          15%            59%            40%            9              0.9948312031744714
ARETE          15%            58%            41%            9              0.9948312031744714
ARETE          15%            57%            42%            9              0.9948312031744714
ARETE          15%            56%            43%            9              0.9948312031744714
ARETE          15%            55%            44%            11             0.9976611304738896
ARETE          15%            54%            45%            12             0.9994435795704556
ARETE          15%            53%            46%            12             0.9994435795704556
ARETE          15%            52%            47%            12             0.9994435795704556
ARETE          15%            51%            48%            12             0.9994435795704556
ARETE          15%            50%            49%            12             0.9994435795704556
