Total nodes: 50              Security parameter: 30              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          36             1-2^(30)       
RapidChain     33.3%          49%            49%            33             1-2^(30)       
AHL            30%            49%            49%            31             1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          18             1-2^(30)       
RIVET          33.3%          49%            49%            33             1-2^(30)       
CoChain        33.3%          66%            66%            25             0.8959839893753315
 
Beacon/Order   15%            33.3%          33.3%          21             1-2^(30)       
 
GEARBOX        15%            99%            0%             8              0.3798451828918881
GEARBOX        15%            97%            1%             8              0.7315974755189092
GEARBOX        15%            95%            2%             8              0.7315974755189092
GEARBOX        15%            93%            3%             8              0.7315974755189092
GEARBOX        15%            91%            4%             8              0.7315974755189092
GEARBOX        15%            89%            5%             8              0.7315974755189092
GEARBOX        15%            87%            6%             9              0.6877376842979321
GEARBOX        15%            85%            7%             9              0.6877376842979321
GEARBOX        15%            83%            8%             9              0.6877376842979321
GEARBOX        15%            81%            9%             9              0.6877376842979321
GEARBOX        15%            79%            10%            9              0.6877376842979321
GEARBOX        15%            77%            11%            10             0.8883886330737868
GEARBOX        15%            75%            12%            10             0.8883886330737868
GEARBOX        15%            73%            13%            10             0.8883886330737868
GEARBOX        15%            71%            14%            10             0.8883886330737868
GEARBOX        15%            69%            15%            11             0.8610172305697014
GEARBOX        15%            67%            16%            11             0.8610172305697014
GEARBOX        15%            65%            17%            11             0.8610172305697014
GEARBOX        15%            63%            18%            12             0.9609951718139658
GEARBOX        15%            61%            19%            12             0.9609951718139658
GEARBOX        15%            59%            20%            12             0.9609951718139658
GEARBOX        15%            57%            21%            13             0.9484897858203153
GEARBOX        15%            55%            22%            13             0.9484897858203153
GEARBOX        15%            53%            23%            14             0.9891059711538166
GEARBOX        15%            51%            24%            14             0.9891059711538166
GEARBOX        15%            49%            25%            15             0.9848324477048956
GEARBOX        15%            47%            26%            15             0.9848324477048956
GEARBOX        15%            45%            27%            16             0.9978174919043624
GEARBOX        15%            43%            28%            17             0.9968077423082479
GEARBOX        15%            41%            29%            18             0.9997628961404965
GEARBOX        15%            39%            30%            18             0.9997628961404965
GEARBOX        15%            37%            31%            19             0.9996363172571678
GEARBOX        15%            35%            32%            20             1.0            
GEARBOX        15%            33%            33%            22             1.0            
 
 
ARETE          15%            99%            0%             8              0.3798451828918881
ARETE          15%            98%            1%             8              0.7315974755189092
ARETE          15%            97%            2%             8              0.7315974755189092
ARETE          15%            96%            3%             8              0.7315974755189092
ARETE          15%            95%            4%             8              0.7315974755189092
ARETE          15%            94%            5%             8              0.7315974755189092
ARETE          15%            93%            6%             8              0.7315974755189092
ARETE          15%            92%            7%             8              0.7315974755189092
ARETE          15%            91%            8%             8              0.7315974755189092
ARETE          15%            90%            9%             8              0.7315974755189092
ARETE          15%            89%            10%            8              0.7315974755189092
ARETE          15%            88%            11%            8              0.7315974755189092
ARETE          15%            87%            12%            9              0.9138641581295885
ARETE          15%            86%            13%            9              0.9138641581295885
ARETE          15%            85%            14%            9              0.9138641581295885
ARETE          15%            84%            15%            9              0.9138641581295885
ARETE          15%            83%            16%            9              0.9138641581295885
ARETE          15%            82%            17%            9              0.9138641581295885
ARETE          15%            81%            18%            9              0.9138641581295885
ARETE          15%            80%            19%            9              0.9138641581295885
ARETE          15%            79%            20%            9              0.9138641581295885
ARETE          15%            78%            21%            9              0.9138641581295885
ARETE          15%            77%            22%            10             0.9803099638996634
ARETE          15%            76%            23%            10             0.9803099638996634
ARETE          15%            75%            24%            10             0.9803099638996634
ARETE          15%            74%            25%            10             0.9803099638996634
ARETE          15%            73%            26%            10             0.9803099638996634
ARETE          15%            72%            27%            10             0.9803099638996634
ARETE          15%            71%            28%            10             0.9803099638996634
ARETE          15%            70%            29%            10             0.9803099638996634
ARETE          15%            69%            30%            11             0.9968884476967002
ARETE          15%            68%            31%            11             0.9968884476967002
ARETE          15%            67%            32%            11             0.9968884476967002
ARETE          15%            66%            33%            11             0.9968884476967002
ARETE          15%            65%            34%            11             0.9968884476967002
ARETE          15%            64%            35%            11             0.9968884476967002
ARETE          15%            63%            36%            12             0.9996905166558588
ARETE          15%            62%            37%            12             0.9996905166558588
ARETE          15%            61%            38%            12             0.9996905166558588
ARETE          15%            60%            39%            12             0.9996905166558588
ARETE          15%            59%            40%            12             0.9996905166558588
ARETE          15%            58%            41%            13             0.9999852173298379
ARETE          15%            57%            42%            13             0.9999852173298379
ARETE          15%            56%            43%            13             0.9999852173298379
ARETE          15%            55%            44%            13             0.9999852173298379
ARETE          15%            54%            45%            13             0.9999852173298379
ARETE          15%            53%            46%            14             1.0            
ARETE          15%            52%            47%            14             1.0            
ARETE          15%            51%            48%            14             1.0            
ARETE          15%            50%            49%            14             1.0            
