Total nodes: 1000            Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          378            1-2^(20)       
RapidChain     33.3%          49%            49%            172            1-2^(20)       
AHL            30%            49%            49%            123            1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          66             1-2^(20)       
RIVET          33.3%          49%            49%            172            1-2^(20)       
CoChain        33.3%          66%            66%            47             0.6288927474894441
 
GEARBOX        15%            99%            0%             8              0.2711400875193533
GEARBOX        15%            97%            1%             8              0.6571046249134506
GEARBOX        15%            95%            2%             8              0.6571046249134506
GEARBOX        15%            93%            3%             8              0.6571046249134506
GEARBOX        15%            91%            4%             8              0.6571046249134506
GEARBOX        15%            89%            5%             8              0.6571046249134506
GEARBOX        15%            87%            6%             10             0.5436531521509338
GEARBOX        15%            85%            7%             10             0.5436531521509338
GEARBOX        15%            83%            8%             10             0.5436531521509338
GEARBOX        15%            81%            9%             10             0.5436531521509338
GEARBOX        15%            79%            10%            12             0.7364278938753128
GEARBOX        15%            77%            11%            12             0.7364278938753128
GEARBOX        15%            75%            12%            12             0.7364278938753128
GEARBOX        15%            73%            13%            13             0.6923509737905809
GEARBOX        15%            71%            14%            13             0.6923509737905809
GEARBOX        15%            69%            15%            15             0.8240601153941819
GEARBOX        15%            67%            16%            15             0.8240601153941819
GEARBOX        15%            65%            17%            17             0.7567981078489199
GEARBOX        15%            63%            18%            18             0.8813623544367861
GEARBOX        15%            61%            19%            20             0.8318485598986692
GEARBOX        15%            59%            20%            21             0.9194475795932275
GEARBOX        15%            57%            21%            23             0.8836262750372369
GEARBOX        15%            55%            22%            24             0.945046562851451
GEARBOX        15%            53%            23%            27             0.9623891780141747
GEARBOX        15%            51%            24%            30             0.9742040206965406
GEARBOX        15%            49%            25%            33             0.982284628192222
GEARBOX        15%            47%            26%            37             0.9848814756128934
GEARBOX        15%            45%            27%            40             0.989577347079872
GEARBOX        15%            43%            28%            47             0.9978623127976027
GEARBOX        15%            41%            29%            52             0.999220587022857
GEARBOX        15%            39%            30%            59             0.9995357916750763
GEARBOX        15%            37%            31%            68             0.9999552589619694
GEARBOX        15%            35%            32%            80             0.9999909763033908
GEARBOX        15%            33%            33%            94             0.9999997609398544
 
 
ARETE          15%            99%            0%             8              0.2711400875193533
ARETE          15%            98%            1%             8              0.6571046249134506
ARETE          15%            97%            2%             8              0.6571046249134506
ARETE          15%            96%            3%             8              0.6571046249134506
ARETE          15%            95%            4%             8              0.6571046249134506
ARETE          15%            94%            5%             8              0.6571046249134506
ARETE          15%            93%            6%             8              0.6571046249134506
ARETE          15%            92%            7%             8              0.6571046249134506
ARETE          15%            91%            8%             8              0.6571046249134506
ARETE          15%            90%            9%             8              0.6571046249134506
ARETE          15%            89%            10%            8              0.6571046249134506
ARETE          15%            88%            11%            8              0.6571046249134506
ARETE          15%            87%            12%            10             0.8210480357633138
ARETE          15%            86%            13%            10             0.8210480357633138
ARETE          15%            85%            14%            10             0.8210480357633138
ARETE          15%            84%            15%            10             0.8210480357633138
ARETE          15%            83%            16%            10             0.8210480357633138
ARETE          15%            82%            17%            10             0.8210480357633138
ARETE          15%            81%            18%            10             0.8210480357633138
ARETE          15%            80%            19%            10             0.8210480357633138
ARETE          15%            79%            20%            12             0.909031924964156
ARETE          15%            78%            21%            12             0.909031924964156
ARETE          15%            77%            22%            12             0.909031924964156
ARETE          15%            76%            23%            12             0.909031924964156
ARETE          15%            75%            24%            12             0.909031924964156
ARETE          15%            74%            25%            13             0.9668140942785637
ARETE          15%            73%            26%            13             0.9668140942785637
ARETE          15%            72%            27%            13             0.9668140942785637
ARETE          15%            71%            28%            13             0.9668140942785637
ARETE          15%            70%            29%            13             0.9668140942785637
ARETE          15%            69%            30%            15             0.9839534096507313
ARETE          15%            68%            31%            15             0.9839534096507313
ARETE          15%            67%            32%            15             0.9839534096507313
ARETE          15%            66%            33%            17             0.9922638698225125
ARETE          15%            65%            34%            17             0.9922638698225125
ARETE          15%            64%            35%            18             0.9975366942066012
ARETE          15%            63%            36%            18             0.9975366942066012
ARETE          15%            62%            37%            18             0.9975366942066012
ARETE          15%            61%            38%            20             0.9988323756015861
ARETE          15%            60%            39%            20             0.9988323756015861
ARETE          15%            59%            40%            21             0.9996541526336896
ARETE          15%            58%            41%            21             0.9996541526336896
ARETE          15%            57%            42%            23             0.999837471372815
ARETE          15%            56%            43%            24             0.9999544549604191
ARETE          15%            55%            44%            24             0.9999544549604191
ARETE          15%            54%            45%            26             0.9999787064445261
ARETE          15%            53%            46%            27             0.9999942943419082
ARETE          15%            52%            47%            27             0.9999942943419082
ARETE          15%            51%            48%            30             0.9999993143165271
ARETE          15%            50%            49%            30             0.9999993143165271
