Total nodes: 1500            Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          438            1-2^(20)       
RapidChain     33.3%          49%            49%            186            1-2^(20)       
AHL            30%            49%            49%            129            1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          69             1-2^(20)       
RIVET          33.3%          49%            49%            186            1-2^(20)       
CoChain        33.3%          66%            66%            47             0.628079460897571
 
GEARBOX        15%            99%            0%             8              0.271591127394587
GEARBOX        15%            97%            1%             8              0.6571305826865875
GEARBOX        15%            95%            2%             8              0.6571305826865875
GEARBOX        15%            93%            3%             8              0.6571305826865875
GEARBOX        15%            91%            4%             8              0.6571305826865875
GEARBOX        15%            89%            5%             8              0.6571305826865875
GEARBOX        15%            87%            6%             10             0.543869359933434
GEARBOX        15%            85%            7%             10             0.543869359933434
GEARBOX        15%            83%            8%             10             0.543869359933434
GEARBOX        15%            81%            9%             10             0.543869359933434
GEARBOX        15%            79%            10%            12             0.7362228584005137
GEARBOX        15%            77%            11%            12             0.7362228584005137
GEARBOX        15%            75%            12%            12             0.7362228584005137
GEARBOX        15%            73%            13%            13             0.6922206098838809
GEARBOX        15%            71%            14%            13             0.6922206098838809
GEARBOX        15%            69%            15%            15             0.8235879499152311
GEARBOX        15%            67%            16%            15             0.8235879499152311
GEARBOX        15%            65%            17%            17             0.7563992070470377
GEARBOX        15%            63%            18%            18             0.880716025444996
GEARBOX        15%            61%            19%            20             0.8311744734881163
GEARBOX        15%            59%            20%            21             0.9187150933175716
GEARBOX        15%            57%            21%            23             0.8827839228221345
GEARBOX        15%            55%            22%            26             0.9184819322990908
GEARBOX        15%            53%            23%            27             0.9616695099935928
GEARBOX        15%            51%            24%            30             0.9735438252049587
GEARBOX        15%            49%            25%            33             0.9816990005223354
GEARBOX        15%            47%            26%            39             0.9912050535841282
GEARBOX        15%            45%            27%            40             0.989068845186949
GEARBOX        15%            43%            28%            47             0.9976691347180201
GEARBOX        15%            41%            29%            54             0.9985811898778199
GEARBOX        15%            39%            30%            59             0.9994622049080157
GEARBOX        15%            37%            31%            71             0.9999607614391446
GEARBOX        15%            35%            32%            83             0.999991279737715
GEARBOX        15%            33%            33%            100            0.9999993329137996
 
 
ARETE          15%            99%            0%             8              0.271591127394587
ARETE          15%            98%            1%             8              0.6571305826865875
ARETE          15%            97%            2%             8              0.6571305826865875
ARETE          15%            96%            3%             8              0.6571305826865875
ARETE          15%            95%            4%             8              0.6571305826865875
ARETE          15%            94%            5%             8              0.6571305826865875
ARETE          15%            93%            6%             8              0.6571305826865875
ARETE          15%            92%            7%             8              0.6571305826865875
ARETE          15%            91%            8%             8              0.6571305826865875
ARETE          15%            90%            9%             8              0.6571305826865875
ARETE          15%            89%            10%            8              0.6571305826865875
ARETE          15%            88%            11%            8              0.6571305826865875
ARETE          15%            87%            12%            10             0.8207624777695496
ARETE          15%            86%            13%            10             0.8207624777695496
ARETE          15%            85%            14%            10             0.8207624777695496
ARETE          15%            84%            15%            10             0.8207624777695496
ARETE          15%            83%            16%            10             0.8207624777695496
ARETE          15%            82%            17%            10             0.8207624777695496
ARETE          15%            81%            18%            10             0.8207624777695496
ARETE          15%            80%            19%            10             0.8207624777695496
ARETE          15%            79%            20%            12             0.9086171337895332
ARETE          15%            78%            21%            12             0.9086171337895332
ARETE          15%            77%            22%            12             0.9086171337895332
ARETE          15%            76%            23%            12             0.9086171337895332
ARETE          15%            75%            24%            12             0.9086171337895332
ARETE          15%            74%            25%            13             0.9664873895400811
ARETE          15%            73%            26%            13             0.9664873895400811
ARETE          15%            72%            27%            13             0.9664873895400811
ARETE          15%            71%            28%            13             0.9664873895400811
ARETE          15%            70%            29%            13             0.9664873895400811
ARETE          15%            69%            30%            15             0.9836994514634811
ARETE          15%            68%            31%            15             0.9836994514634811
ARETE          15%            67%            32%            15             0.9836994514634811
ARETE          15%            66%            33%            17             0.9920838642081042
ARETE          15%            65%            34%            17             0.9920838642081042
ARETE          15%            64%            35%            18             0.9974526634631916
ARETE          15%            63%            36%            18             0.9974526634631916
ARETE          15%            62%            37%            18             0.9974526634631916
ARETE          15%            61%            38%            20             0.9987798728083606
ARETE          15%            60%            39%            20             0.9987798728083606
ARETE          15%            59%            40%            21             0.9996333784763172
ARETE          15%            58%            41%            21             0.9996333784763172
ARETE          15%            57%            42%            23             0.9998253334418287
ARETE          15%            56%            43%            25             0.9999167412256194
ARETE          15%            55%            44%            26             0.999976293198082
ARETE          15%            54%            45%            26             0.999976293198082
ARETE          15%            53%            46%            27             0.9999935042837462
ARETE          15%            52%            47%            27             0.9999935042837462
ARETE          15%            51%            48%            30             0.9999991817794213
ARETE          15%            50%            49%            30             0.9999991817794213
