Total nodes: 2500            Security parameter: 30              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          711            1-2^(30)       
RapidChain     33.3%          49%            49%            296            1-2^(30)       
AHL            30%            49%            49%            207            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          111            1-2^(30)       
RIVET          33.3%          49%            49%            296            1-2^(30)       
CoChain        33.3%          66%            66%            79             0.6401182380830052
 
GEARBOX        15%            99%            0%             11             0.16669283894743572
GEARBOX        15%            97%            1%             11             0.49180298583073234
GEARBOX        15%            95%            2%             11             0.49180298583073234
GEARBOX        15%            93%            3%             11             0.49180298583073234
GEARBOX        15%            91%            4%             11             0.49180298583073234
GEARBOX        15%            89%            5%             14             0.35593129799395545
GEARBOX        15%            87%            6%             14             0.35593129799395545
GEARBOX        15%            85%            7%             16             0.5611503352343264
GEARBOX        15%            83%            8%             16             0.5611503352343264
GEARBOX        15%            81%            9%             18             0.4791307459908787
GEARBOX        15%            79%            10%            18             0.4791307459908787
GEARBOX        15%            77%            11%            19             0.6844261480022112
GEARBOX        15%            75%            12%            19             0.6844261480022112
GEARBOX        15%            73%            13%            21             0.6113017992960711
GEARBOX        15%            71%            14%            23             0.744689801964258
GEARBOX        15%            69%            15%            24             0.7139271395029958
GEARBOX        15%            67%            16%            24             0.7139271395029958
GEARBOX        15%            65%            17%            28             0.7655132717239281
GEARBOX        15%            63%            18%            29             0.8680020145150528
GEARBOX        15%            61%            19%            32             0.9055362283832166
GEARBOX        15%            59%            20%            34             0.8748193545364348
GEARBOX        15%            57%            21%            37             0.9091963505911597
GEARBOX        15%            55%            22%            40             0.9343549735887742
GEARBOX        15%            53%            23%            44             0.975589519620034
GEARBOX        15%            51%            24%            50             0.9713003370744229
GEARBOX        15%            49%            25%            56             0.9851431431063007
GEARBOX        15%            47%            26%            60             0.9946655971592155
GEARBOX        15%            45%            27%            67             0.998717300455549
GEARBOX        15%            43%            28%            75             0.9990384367083764
GEARBOX        15%            41%            29%            86             0.9998046705916194
GEARBOX        15%            39%            30%            98             0.9999828198153036
GEARBOX        15%            37%            31%            114            0.9999987662120478
GEARBOX        15%            35%            32%            135            0.9999999691239427
GEARBOX        15%            33%            33%            161            0.9999999997523619
 
 
ARETE          15%            99%            0%             11             0.16669283894743572
ARETE          15%            98%            1%             11             0.49180298583073234
ARETE          15%            97%            2%             11             0.49180298583073234
ARETE          15%            96%            3%             11             0.49180298583073234
ARETE          15%            95%            4%             11             0.49180298583073234
ARETE          15%            94%            5%             11             0.49180298583073234
ARETE          15%            93%            6%             11             0.49180298583073234
ARETE          15%            92%            7%             11             0.49180298583073234
ARETE          15%            91%            8%             11             0.49180298583073234
ARETE          15%            90%            9%             14             0.6479530017425096
ARETE          15%            89%            10%            14             0.6479530017425096
ARETE          15%            88%            11%            14             0.6479530017425096
ARETE          15%            87%            12%            14             0.6479530017425096
ARETE          15%            86%            13%            14             0.6479530017425096
ARETE          15%            85%            14%            16             0.7904178781490652
ARETE          15%            84%            15%            16             0.7904178781490652
ARETE          15%            83%            16%            16             0.7904178781490652
ARETE          15%            82%            17%            16             0.7904178781490652
ARETE          15%            81%            18%            18             0.8802026344737296
ARETE          15%            80%            19%            18             0.8802026344737296
ARETE          15%            79%            20%            18             0.8802026344737296
ARETE          15%            78%            21%            18             0.8802026344737296
ARETE          15%            77%            22%            19             0.9469931326170759
ARETE          15%            76%            23%            19             0.9469931326170759
ARETE          15%            75%            24%            19             0.9469931326170759
ARETE          15%            74%            25%            19             0.9469931326170759
ARETE          15%            73%            26%            21             0.9718307988444027
ARETE          15%            72%            27%            21             0.9718307988444027
ARETE          15%            71%            28%            23             0.9852279921731946
ARETE          15%            70%            29%            23             0.9852279921731946
ARETE          15%            69%            30%            24             0.9943643654668235
ARETE          15%            68%            31%            24             0.9943643654668235
ARETE          15%            67%            32%            24             0.9943643654668235
ARETE          15%            66%            33%            26             0.9971412006471757
ARETE          15%            65%            34%            28             0.9985570860408959
ARETE          15%            64%            35%            29             0.9994981198125082
ARETE          15%            63%            36%            29             0.9994981198125082
ARETE          15%            62%            37%            31             0.999751068530453
ARETE          15%            61%            38%            32             0.9999180509725502
ARETE          15%            60%            39%            32             0.9999180509725502
ARETE          15%            59%            40%            34             0.9999598056217762
ARETE          15%            58%            41%            35             0.9999873483850862
ARETE          15%            57%            42%            37             0.9999938399072531
ARETE          15%            56%            43%            40             0.9999990950857488
ARETE          15%            55%            44%            40             0.9999990950857488
ARETE          15%            54%            45%            41             0.9999997342800482
ARETE          15%            53%            46%            44             0.9999999633503824
ARETE          15%            52%            47%            47             0.9999999950785199
ARETE          15%            51%            48%            50             0.9999999959113337
ARETE          15%            50%            49%            50             0.999999999354458
