Total nodes: 300             Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          192            1-2^(20)       
RapidChain     33.3%          49%            49%            121            1-2^(20)       
AHL            30%            49%            49%            92             1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          54             1-2^(20)       
RIVET          33.3%          49%            49%            121            1-2^(20)       
CoChain        33.3%          66%            66%            41             0.6403146139336038
 
Beacon/Order   15%            33.3%          33.3%          72             1-2^(20)       
 
GEARBOX        15%            99%            0%             8              0.26795747877811715
GEARBOX        15%            97%            1%             8              0.6569280124882872
GEARBOX        15%            95%            2%             8              0.6569280124882872
GEARBOX        15%            93%            3%             8              0.6569280124882872
GEARBOX        15%            91%            4%             8              0.6569280124882872
GEARBOX        15%            89%            5%             8              0.6569280124882872
GEARBOX        15%            87%            6%             10             0.5421210056454323
GEARBOX        15%            85%            7%             10             0.5421210056454323
GEARBOX        15%            83%            8%             10             0.5421210056454323
GEARBOX        15%            81%            9%             10             0.5421210056454323
GEARBOX        15%            79%            10%            11             0.7814342319782109
GEARBOX        15%            77%            11%            11             0.7814342319782109
GEARBOX        15%            75%            12%            11             0.7814342319782109
GEARBOX        15%            73%            13%            11             0.7814342319782109
GEARBOX        15%            71%            14%            13             0.6933065153260796
GEARBOX        15%            69%            15%            15             0.8274777643800081
GEARBOX        15%            67%            16%            15             0.8274777643800081
GEARBOX        15%            65%            17%            16             0.7944718910890166
GEARBOX        15%            63%            18%            16             0.7944718910890166
GEARBOX        15%            61%            19%            19             0.8624211640203024
GEARBOX        15%            59%            20%            19             0.8624211640203024
GEARBOX        15%            57%            21%            22             0.9081696963650165
GEARBOX        15%            55%            22%            22             0.9081696963650165
GEARBOX        15%            53%            23%            25             0.9389759589227042
GEARBOX        15%            51%            24%            28             0.9596806628164439
GEARBOX        15%            49%            25%            29             0.983233848996746
GEARBOX        15%            47%            26%            32             0.9892027681085472
GEARBOX        15%            45%            27%            36             0.9911945261958031
GEARBOX        15%            43%            28%            40             0.9979009235635828
GEARBOX        15%            41%            29%            44             0.9983078547796013
GEARBOX        15%            39%            30%            49             0.9995253004837386
GEARBOX        15%            37%            31%            57             0.9999296993447445
GEARBOX        15%            35%            32%            63             0.9999954674303693
GEARBOX        15%            33%            33%            73             0.9999998536488841
 
 
ARETE          15%            99%            0%             8              0.26795747877811715
ARETE          15%            98%            1%             8              0.6569280124882872
ARETE          15%            97%            2%             8              0.6569280124882872
ARETE          15%            96%            3%             8              0.6569280124882872
ARETE          15%            95%            4%             8              0.6569280124882872
ARETE          15%            94%            5%             8              0.6569280124882872
ARETE          15%            93%            6%             8              0.6569280124882872
ARETE          15%            92%            7%             8              0.6569280124882872
ARETE          15%            91%            8%             8              0.6569280124882872
ARETE          15%            90%            9%             8              0.6569280124882872
ARETE          15%            89%            10%            8              0.6569280124882872
ARETE          15%            88%            11%            8              0.6569280124882872
ARETE          15%            87%            12%            10             0.8230960487082088
ARETE          15%            86%            13%            10             0.8230960487082088
ARETE          15%            85%            14%            10             0.8230960487082088
ARETE          15%            84%            15%            10             0.8230960487082088
ARETE          15%            83%            16%            10             0.8230960487082088
ARETE          15%            82%            17%            10             0.8230960487082088
ARETE          15%            81%            18%            10             0.8230960487082088
ARETE          15%            80%            19%            10             0.8230960487082088
ARETE          15%            79%            20%            11             0.9341942266548698
ARETE          15%            78%            21%            11             0.9341942266548698
ARETE          15%            77%            22%            11             0.9341942266548698
ARETE          15%            76%            23%            11             0.9341942266548698
ARETE          15%            75%            24%            11             0.9341942266548698
ARETE          15%            74%            25%            11             0.9341942266548698
ARETE          15%            73%            26%            11             0.9341942266548698
ARETE          15%            72%            27%            13             0.9691136285521943
ARETE          15%            71%            28%            13             0.9691136285521943
ARETE          15%            70%            29%            13             0.9691136285521943
ARETE          15%            69%            30%            15             0.9857138176035778
ARETE          15%            68%            31%            15             0.9857138176035778
ARETE          15%            67%            32%            15             0.9857138176035778
ARETE          15%            66%            33%            16             0.995674104558571
ARETE          15%            65%            34%            16             0.995674104558571
ARETE          15%            64%            35%            16             0.995674104558571
ARETE          15%            63%            36%            16             0.995674104558571
ARETE          15%            62%            37%            18             0.9980868208611311
ARETE          15%            61%            38%            19             0.9994818575735106
ARETE          15%            60%            39%            19             0.9994818575735106
ARETE          15%            59%            40%            19             0.9994818575735106
ARETE          15%            58%            41%            19             0.9994818575735106
ARETE          15%            57%            42%            22             0.9999454787312416
ARETE          15%            56%            43%            22             0.9999454787312416
ARETE          15%            55%            44%            22             0.9999454787312416
ARETE          15%            54%            45%            25             0.9999949036908089
ARETE          15%            53%            46%            25             0.9999949036908089
ARETE          15%            52%            47%            25             0.9999949036908089
ARETE          15%            51%            48%            28             0.9999995754963128
ARETE          15%            50%            49%            28             0.9999995754963128
