Total nodes: 500             Security parameter: 20              Total Byzantine ratio: 25             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          267            1-2^(20)       
RapidChain     33.3%          49%            49%            141            1-2^(20)       
AHL            30%            49%            49%            109            1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          60             1-2^(20)       
RIVET          33.3%          49%            49%            141            1-2^(20)       
CoChain        33.3%          66%            66%            44             0.6340551283468906
 
GEARBOX        25%            99%            0%             10             0.05462456478651475
GEARBOX        25%            97%            1%             10             0.24118387075138753
GEARBOX        25%            95%            2%             10             0.24118387075138753
GEARBOX        25%            93%            3%             10             0.24118387075138753
GEARBOX        25%            91%            4%             10             0.24118387075138753
GEARBOX        25%            89%            5%             13             0.1233882648010519
GEARBOX        25%            87%            6%             13             0.1233882648010519
GEARBOX        25%            85%            7%             13             0.1233882648010519
GEARBOX        25%            83%            8%             15             0.2319755868920586
GEARBOX        25%            81%            9%             15             0.2319755868920586
GEARBOX        25%            79%            10%            17             0.1591010150612969
GEARBOX        25%            77%            11%            17             0.1591010150612969
GEARBOX        25%            75%            12%            19             0.25813882977428687
GEARBOX        25%            73%            13%            21             0.1859539201434798
GEARBOX        25%            71%            14%            23             0.2775094465794339
GEARBOX        25%            69%            15%            25             0.20699777406388598
GEARBOX        25%            67%            16%            27             0.29256164363984394
GEARBOX        25%            65%            17%            30             0.34201477592929613
GEARBOX        25%            63%            18%            32             0.27001110548138835
GEARBOX        25%            61%            19%            35             0.31466210324312366
GEARBOX        25%            59%            20%            39             0.32307775506330183
GEARBOX        25%            57%            21%            44             0.4375200130195258
GEARBOX        25%            55%            22%            50             0.3733209098710887
GEARBOX        25%            53%            23%            53             0.5421491550768688
GEARBOX        25%            51%            24%            61             0.5393221478407262
GEARBOX        25%            49%            25%            70             0.6231295077425831
GEARBOX        25%            47%            26%            79             0.6940693279528771
GEARBOX        25%            45%            27%            94             0.7875742637107628
GEARBOX        25%            43%            28%            107            0.8278671511282633
GEARBOX        25%            41%            29%            127            0.9126058840658702
GEARBOX        25%            39%            30%            154            0.9769886834915676
GEARBOX        25%            37%            31%            187            0.9936177528674885
GEARBOX        25%            35%            32%            226            0.9997879184301002
GEARBOX        25%            33%            33%            279            0.9999997685718763
 
 
ARETE          25%            99%            0%             10             0.05462456478651475
ARETE          25%            98%            1%             10             0.24118387075138753
ARETE          25%            97%            2%             10             0.24118387075138753
ARETE          25%            96%            3%             10             0.24118387075138753
ARETE          25%            95%            4%             10             0.24118387075138753
ARETE          25%            94%            5%             10             0.24118387075138753
ARETE          25%            93%            6%             10             0.24118387075138753
ARETE          25%            92%            7%             10             0.24118387075138753
ARETE          25%            91%            8%             10             0.24118387075138753
ARETE          25%            90%            9%             10             0.24118387075138753
ARETE          25%            89%            10%            13             0.32953781615377226
ARETE          25%            88%            11%            13             0.32953781615377226
ARETE          25%            87%            12%            13             0.32953781615377226
ARETE          25%            86%            13%            13             0.32953781615377226
ARETE          25%            85%            14%            13             0.32953781615377226
ARETE          25%            84%            15%            15             0.459454137549861
ARETE          25%            83%            16%            15             0.459454137549861
ARETE          25%            82%            17%            15             0.459454137549861
ARETE          25%            81%            18%            15             0.459454137549861
ARETE          25%            80%            19%            15             0.459454137549861
ARETE          25%            79%            20%            17             0.5738969547880131
ARETE          25%            78%            21%            17             0.5738969547880131
ARETE          25%            77%            22%            17             0.5738969547880131
ARETE          25%            76%            23%            19             0.6697101912620688
ARETE          25%            75%            24%            19             0.6697101912620688
ARETE          25%            74%            25%            19             0.6697101912620688
ARETE          25%            73%            26%            21             0.7472896272220902
ARETE          25%            72%            27%            21             0.7472896272220902
ARETE          25%            71%            28%            23             0.8086522329081147
ARETE          25%            70%            29%            23             0.8086522329081147
ARETE          25%            69%            30%            25             0.8563581023538676
ARETE          25%            68%            31%            25             0.8563581023538676
ARETE          25%            67%            32%            27             0.8929578740440397
ARETE          25%            66%            33%            29             0.9207411085950252
ARETE          25%            65%            34%            30             0.9546244718580374
ARETE          25%            64%            35%            30             0.9546244718580374
ARETE          25%            63%            36%            32             0.9670938200769531
ARETE          25%            62%            37%            34             0.9762328080829662
ARETE          25%            61%            38%            35             0.9873050708153146
ARETE          25%            60%            39%            35             0.9873050708153146
ARETE          25%            59%            40%            39             0.9935914111942917
ARETE          25%            58%            41%            40             0.9967637533372046
ARETE          25%            57%            42%            44             0.9984140017861275
ARETE          25%            56%            43%            45             0.9992363301156252
ARETE          25%            55%            44%            50             0.999468320876245
ARETE          25%            54%            45%            50             0.9998316889369226
ARETE          25%            53%            46%            53             0.9999485886291187
ARETE          25%            52%            47%            58             0.9999898648183757
ARETE          25%            51%            48%            61             0.9999971592631247
ARETE          25%            50%            49%            64             0.9999992324137451
