Total nodes: 3000            Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          522            1-2^(20)       
RapidChain     33.3%          49%            49%            198            1-2^(20)       
AHL            30%            49%            49%            133            1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          72             1-2^(20)       
RIVET          33.3%          49%            49%            198            1-2^(20)       
CoChain        33.3%          66%            66%            50             0.6247677458670512
 
GEARBOX        15%            99%            0%             8              0.2720412721875639
GEARBOX        15%            97%            1%             8              0.6571567184617401
GEARBOX        15%            95%            2%             8              0.6571567184617401
GEARBOX        15%            93%            3%             8              0.6571567184617401
GEARBOX        15%            91%            4%             8              0.6571567184617401
GEARBOX        15%            89%            5%             8              0.6571567184617401
GEARBOX        15%            87%            6%             10             0.5440849154834652
GEARBOX        15%            85%            7%             10             0.5440849154834652
GEARBOX        15%            83%            8%             10             0.5440849154834652
GEARBOX        15%            81%            9%             10             0.5440849154834652
GEARBOX        15%            79%            10%            12             0.7360195953208742
GEARBOX        15%            77%            11%            12             0.7360195953208742
GEARBOX        15%            75%            12%            12             0.7360195953208742
GEARBOX        15%            73%            13%            14             0.6479459403203847
GEARBOX        15%            71%            14%            15             0.8231196606535672
GEARBOX        15%            69%            15%            15             0.8231196606535672
GEARBOX        15%            67%            16%            15             0.8231196606535672
GEARBOX        15%            65%            17%            17             0.7560045229492385
GEARBOX        15%            63%            18%            18             0.880074792993999
GEARBOX        15%            61%            19%            20             0.8305072695658744
GEARBOX        15%            59%            20%            23             0.8819496008235743
GEARBOX        15%            57%            21%            23             0.8819496008235743
GEARBOX        15%            55%            22%            26             0.9175739675102371
GEARBOX        15%            53%            23%            29             0.9423215891866159
GEARBOX        15%            51%            24%            32             0.9595632485268313
GEARBOX        15%            49%            25%            33             0.9811102941930235
GEARBOX        15%            47%            26%            39             0.9907697295405997
GEARBOX        15%            45%            27%            40             0.9885532057569204
GEARBOX        15%            43%            28%            47             0.9974672600505734
GEARBOX        15%            41%            29%            54             0.9984225404973494
GEARBOX        15%            39%            30%            62             0.9995648430533789
GEARBOX        15%            37%            31%            73             0.9999163377792314
GEARBOX        15%            35%            32%            86             0.9999913517973541
GEARBOX        15%            33%            33%            107            0.9999997725806458
 
 
ARETE          15%            99%            0%             8              0.2720412721875639
ARETE          15%            98%            1%             8              0.6571567184617401
ARETE          15%            97%            2%             8              0.6571567184617401
ARETE          15%            96%            3%             8              0.6571567184617401
ARETE          15%            95%            4%             8              0.6571567184617401
ARETE          15%            94%            5%             8              0.6571567184617401
ARETE          15%            93%            6%             8              0.6571567184617401
ARETE          15%            92%            7%             8              0.6571567184617401
ARETE          15%            91%            8%             8              0.6571567184617401
ARETE          15%            90%            9%             8              0.6571567184617401
ARETE          15%            89%            10%            8              0.6571567184617401
ARETE          15%            88%            11%            8              0.6571567184617401
ARETE          15%            87%            12%            10             0.8204786306136348
ARETE          15%            86%            13%            10             0.8204786306136348
ARETE          15%            85%            14%            10             0.8204786306136348
ARETE          15%            84%            15%            10             0.8204786306136348
ARETE          15%            83%            16%            10             0.8204786306136348
ARETE          15%            82%            17%            10             0.8204786306136348
ARETE          15%            81%            18%            10             0.8204786306136348
ARETE          15%            80%            19%            10             0.8204786306136348
ARETE          15%            79%            20%            12             0.9082043861530323
ARETE          15%            78%            21%            12             0.9082043861530323
ARETE          15%            77%            22%            12             0.9082043861530323
ARETE          15%            76%            23%            12             0.9082043861530323
ARETE          15%            75%            24%            12             0.9082043861530323
ARETE          15%            74%            25%            14             0.9536613168965715
ARETE          15%            73%            26%            14             0.9536613168965715
ARETE          15%            72%            27%            14             0.9536613168965715
ARETE          15%            71%            28%            15             0.9834449454845908
ARETE          15%            70%            29%            15             0.9834449454845908
ARETE          15%            69%            30%            15             0.9834449454845908
ARETE          15%            68%            31%            15             0.9834449454845908
ARETE          15%            67%            32%            15             0.9834449454845908
ARETE          15%            66%            33%            17             0.9919025725921982
ARETE          15%            65%            34%            17             0.9919025725921982
ARETE          15%            64%            35%            18             0.9973673033587533
ARETE          15%            63%            36%            18             0.9973673033587533
ARETE          15%            62%            37%            18             0.9973673033587533
ARETE          15%            61%            38%            20             0.9987261108422382
ARETE          15%            60%            39%            20             0.9987261108422382
ARETE          15%            59%            40%            23             0.9998126099001307
ARETE          15%            58%            41%            23             0.9998126099001307
ARETE          15%            57%            42%            23             0.9998126099001307
ARETE          15%            56%            43%            25             0.999909357503397
ARETE          15%            55%            44%            26             0.9999736853454744
ARETE          15%            54%            45%            26             0.9999736853454744
ARETE          15%            53%            46%            29             0.9999964286674454
ARETE          15%            52%            47%            29             0.9999964286674454
ARETE          15%            51%            48%            32             0.9999995279211958
ARETE          15%            50%            49%            32             0.9999995279211958
