Total nodes: 200             Security parameter: 30              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          150            1-2^(30)       
RapidChain     33.3%          49%            49%            117            1-2^(30)       
AHL            30%            49%            49%            98             1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          63             1-2^(30)       
RIVET          33.3%          49%            49%            117            1-2^(30)       
CoChain        33.3%          66%            66%            55             0.6776590293368856
 
Beacon/Order   15%            33.3%          33.3%          78             1-2^(30)       
 
GEARBOX        15%            99%            0%             11             0.15910848106237063
GEARBOX        15%            97%            1%             11             0.48726972325351003
GEARBOX        15%            95%            2%             11             0.48726972325351003
GEARBOX        15%            93%            3%             11             0.48726972325351003
GEARBOX        15%            91%            4%             11             0.48726972325351003
GEARBOX        15%            89%            5%             13             0.39016774096382073
GEARBOX        15%            87%            6%             13             0.39016774096382073
GEARBOX        15%            85%            7%             13             0.39016774096382073
GEARBOX        15%            83%            8%             15             0.6031614038008336
GEARBOX        15%            81%            9%             15             0.6031614038008336
GEARBOX        15%            79%            10%            16             0.5584448638654412
GEARBOX        15%            77%            11%            16             0.5584448638654412
GEARBOX        15%            75%            12%            16             0.5584448638654412
GEARBOX        15%            73%            13%            18             0.7254804079603903
GEARBOX        15%            71%            14%            20             0.6498484377238419
GEARBOX        15%            69%            15%            21             0.8129738893273619
GEARBOX        15%            67%            16%            21             0.8129738893273619
GEARBOX        15%            65%            17%            24             0.874423451908909
GEARBOX        15%            63%            18%            24             0.874423451908909
GEARBOX        15%            61%            19%            25             0.8526289395442835
GEARBOX        15%            59%            20%            28             0.9012724628238642
GEARBOX        15%            57%            21%            30             0.945923284923315
GEARBOX        15%            55%            22%            31             0.9349962871973332
GEARBOX        15%            53%            23%            34             0.9579747003851531
GEARBOX        15%            51%            24%            36             0.9782676078919125
GEARBOX        15%            49%            25%            39             0.9866283851487018
GEARBOX        15%            47%            26%            43             0.9970981976857233
GEARBOX        15%            45%            27%            47             0.9978912142913031
GEARBOX        15%            43%            28%            49             0.9991073553918898
GEARBOX        15%            41%            29%            54             0.9998191631225714
GEARBOX        15%            39%            30%            59             0.9999700397283996
GEARBOX        15%            37%            31%            65             0.9999992587598535
GEARBOX        15%            35%            32%            72             0.9999999893831735
GEARBOX        15%            33%            33%            79             0.999999999965481
 
 
ARETE          15%            99%            0%             11             0.15910848106237063
ARETE          15%            98%            1%             11             0.48726972325351003
ARETE          15%            97%            2%             11             0.48726972325351003
ARETE          15%            96%            3%             11             0.48726972325351003
ARETE          15%            95%            4%             11             0.48726972325351003
ARETE          15%            94%            5%             11             0.48726972325351003
ARETE          15%            93%            6%             11             0.48726972325351003
ARETE          15%            92%            7%             11             0.48726972325351003
ARETE          15%            91%            8%             11             0.48726972325351003
ARETE          15%            90%            9%             13             0.6940375350900301
ARETE          15%            89%            10%            13             0.6940375350900301
ARETE          15%            88%            11%            13             0.6940375350900301
ARETE          15%            87%            12%            13             0.6940375350900301
ARETE          15%            86%            13%            13             0.6940375350900301
ARETE          15%            85%            14%            13             0.6940375350900301
ARETE          15%            84%            15%            15             0.8300459576924344
ARETE          15%            83%            16%            15             0.8300459576924344
ARETE          15%            82%            17%            15             0.8300459576924344
ARETE          15%            81%            18%            15             0.8300459576924344
ARETE          15%            80%            19%            15             0.8300459576924344
ARETE          15%            79%            20%            16             0.9293846002071353
ARETE          15%            78%            21%            16             0.9293846002071353
ARETE          15%            77%            22%            16             0.9293846002071353
ARETE          15%            76%            23%            16             0.9293846002071353
ARETE          15%            75%            24%            16             0.9293846002071353
ARETE          15%            74%            25%            18             0.9656097299547548
ARETE          15%            73%            26%            18             0.9656097299547548
ARETE          15%            72%            27%            20             0.9838626636381126
ARETE          15%            71%            28%            20             0.9838626636381126
ARETE          15%            70%            29%            20             0.9838626636381126
ARETE          15%            69%            30%            21             0.9947969209722405
ARETE          15%            68%            31%            21             0.9947969209722405
ARETE          15%            67%            32%            21             0.9947969209722405
ARETE          15%            66%            33%            23             0.9977686490930389
ARETE          15%            65%            34%            24             0.9993819946063884
ARETE          15%            64%            35%            24             0.9993819946063884
ARETE          15%            63%            36%            24             0.9993819946063884
ARETE          15%            62%            37%            25             0.9998439980943021
ARETE          15%            61%            38%            25             0.9998439980943021
ARETE          15%            60%            39%            25             0.9998439980943021
ARETE          15%            59%            40%            28             0.9999870728572625
ARETE          15%            58%            41%            28             0.9999870728572625
ARETE          15%            57%            42%            30             0.9999955336488494
ARETE          15%            56%            43%            31             0.9999991435362987
ARETE          15%            55%            44%            31             0.9999991435362987
ARETE          15%            54%            45%            32             0.9999998498495827
ARETE          15%            53%            46%            34             0.9999999554518241
ARETE          15%            52%            47%            35             0.9999999932873059
ARETE          15%            51%            48%            36             0.9999999990836508
ARETE          15%            50%            49%            36             0.9999999990836508
