Total nodes: 1000            Security parameter: 30              Total Byzantine ratio: 20             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          486            1-2^(30)       
RapidChain     33.3%          49%            49%            247            1-2^(30)       
AHL            30%            49%            49%            182            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          102            1-2^(30)       
RIVET          33.3%          49%            49%            247            1-2^(30)       
CoChain        33.3%          66%            66%            73             0.646204353368474
 
GEARBOX        20%            99%            0%             13             0.05390398154633303
GEARBOX        20%            97%            1%             13             0.23175975822205117
GEARBOX        20%            95%            2%             13             0.23175975822205117
GEARBOX        20%            93%            3%             13             0.23175975822205117
GEARBOX        20%            91%            4%             16             0.1386168900527459
GEARBOX        20%            89%            5%             16             0.1386168900527459
GEARBOX        20%            87%            6%             18             0.2689084745001092
GEARBOX        20%            85%            7%             18             0.2689084745001092
GEARBOX        20%            83%            8%             20             0.2032886609686281
GEARBOX        20%            81%            9%             20             0.2032886609686281
GEARBOX        20%            79%            10%            22             0.32947983682982124
GEARBOX        20%            77%            11%            24             0.26068719531080886
GEARBOX        20%            75%            12%            24             0.26068719531080886
GEARBOX        20%            73%            13%            28             0.31158660997946885
GEARBOX        20%            71%            14%            29             0.4617616251938437
GEARBOX        20%            69%            15%            29             0.4617616251938437
GEARBOX        20%            67%            16%            33             0.4992410059549684
GEARBOX        20%            65%            17%            36             0.5660453836930831
GEARBOX        20%            63%            18%            40             0.5937831610908495
GEARBOX        20%            61%            19%            41             0.5619442058052271
GEARBOX        20%            59%            20%            46             0.6971354966903637
GEARBOX        20%            57%            21%            51             0.688629769507115
GEARBOX        20%            55%            22%            55             0.8092600997892124
GEARBOX        20%            53%            23%            63             0.8283387284840887
GEARBOX        20%            51%            24%            69             0.8743925308883459
GEARBOX        20%            49%            25%            76             0.897886591368391
GEARBOX        20%            47%            26%            88             0.946709756641759
GEARBOX        20%            45%            27%            98             0.9793646179633337
GEARBOX        20%            43%            28%            112            0.9927939226510334
GEARBOX        20%            41%            29%            132            0.9983873121763852
GEARBOX        20%            39%            30%            154            0.9997773912881335
GEARBOX        20%            37%            31%            182            0.9999832219789943
GEARBOX        20%            35%            32%            218            0.9999996247196041
GEARBOX        20%            33%            33%            267            0.9999999997523619
 
 
ARETE          20%            99%            0%             13             0.05390398154633303
ARETE          20%            98%            1%             13             0.23175975822205117
ARETE          20%            97%            2%             13             0.23175975822205117
ARETE          20%            96%            3%             13             0.23175975822205117
ARETE          20%            95%            4%             13             0.23175975822205117
ARETE          20%            94%            5%             13             0.23175975822205117
ARETE          20%            93%            6%             13             0.23175975822205117
ARETE          20%            92%            7%             16             0.3499801980339843
ARETE          20%            91%            8%             16             0.3499801980339843
ARETE          20%            90%            9%             16             0.3499801980339843
ARETE          20%            89%            10%            16             0.3499801980339843
ARETE          20%            88%            11%            16             0.3499801980339843
ARETE          20%            87%            12%            18             0.500156285335767
ARETE          20%            86%            13%            18             0.500156285335767
ARETE          20%            85%            14%            18             0.500156285335767
ARETE          20%            84%            15%            18             0.500156285335767
ARETE          20%            83%            16%            20             0.630095601723991
ARETE          20%            82%            17%            20             0.630095601723991
ARETE          20%            81%            18%            20             0.630095601723991
ARETE          20%            80%            19%            20             0.630095601723991
ARETE          20%            79%            20%            22             0.7342816968454168
ARETE          20%            78%            21%            22             0.7342816968454168
ARETE          20%            77%            22%            24             0.813557751936383
ARETE          20%            76%            23%            24             0.813557751936383
ARETE          20%            75%            24%            24             0.813557751936383
ARETE          20%            74%            25%            26             0.8716353145301566
ARETE          20%            73%            26%            28             0.912984048360269
ARETE          20%            72%            27%            28             0.912984048360269
ARETE          20%            71%            28%            29             0.9532629767622457
ARETE          20%            70%            29%            29             0.9532629767622457
ARETE          20%            69%            30%            29             0.9532629767622457
ARETE          20%            68%            31%            31             0.9694888799470488
ARETE          20%            67%            32%            33             0.9802470042652043
ARETE          20%            66%            33%            35             0.9873050231042575
ARETE          20%            65%            34%            36             0.9938949067387618
ARETE          20%            64%            35%            36             0.9938949067387618
ARETE          20%            63%            36%            40             0.9975967735138138
ARETE          20%            62%            37%            41             0.9989179103929574
ARETE          20%            61%            38%            41             0.9989179103929574
ARETE          20%            60%            39%            44             0.9997126035819489
ARETE          20%            59%            40%            46             0.9998250445581298
ARETE          20%            58%            41%            49             0.999956295407563
ARETE          20%            57%            42%            51             0.9999737305554884
ARETE          20%            56%            43%            52             0.9999895443395688
ARETE          20%            55%            44%            55             0.9999975938810287
ARETE          20%            54%            45%            58             0.9999994655220834
ARETE          20%            53%            46%            63             0.9999997096643737
ARETE          20%            52%            47%            66             0.9999999860918272
ARETE          20%            51%            48%            69             0.9999999971973872
ARETE          20%            50%            49%            72             0.9999999994503557
