Total nodes: 400             Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          234            1-2^(20)       
RapidChain     33.3%          49%            49%            133            1-2^(20)       
AHL            30%            49%            49%            100            1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          60             1-2^(20)       
RIVET          33.3%          49%            49%            133            1-2^(20)       
CoChain        33.3%          66%            66%            44             0.6353441164689221
 
Beacon/Order   15%            33.3%          33.3%          78             1-2^(20)       
 
GEARBOX        15%            99%            0%             8              0.26909924639416344
GEARBOX        15%            97%            1%             8              0.656990052007372
GEARBOX        15%            95%            2%             8              0.656990052007372
GEARBOX        15%            93%            3%             8              0.656990052007372
GEARBOX        15%            91%            4%             8              0.656990052007372
GEARBOX        15%            89%            5%             8              0.656990052007372
GEARBOX        15%            87%            6%             10             0.5426720096721174
GEARBOX        15%            85%            7%             10             0.5426720096721174
GEARBOX        15%            83%            8%             10             0.5426720096721174
GEARBOX        15%            81%            9%             10             0.5426720096721174
GEARBOX        15%            79%            10%            12             0.7373729938717581
GEARBOX        15%            77%            11%            12             0.7373729938717581
GEARBOX        15%            75%            12%            12             0.7373729938717581
GEARBOX        15%            73%            13%            13             0.6929564265323531
GEARBOX        15%            71%            14%            13             0.6929564265323531
GEARBOX        15%            69%            15%            15             0.8262340780848489
GEARBOX        15%            67%            16%            15             0.8262340780848489
GEARBOX        15%            65%            17%            16             0.7932853884681548
GEARBOX        15%            63%            18%            16             0.7932853884681548
GEARBOX        15%            61%            19%            20             0.8349699582829865
GEARBOX        15%            59%            20%            21             0.9228072953857764
GEARBOX        15%            57%            21%            23             0.8875191598500007
GEARBOX        15%            55%            22%            24             0.9484681732996092
GEARBOX        15%            53%            23%            25             0.9367970856177693
GEARBOX        15%            51%            24%            28             0.9575840887560029
GEARBOX        15%            49%            25%            31             0.9716380294318172
GEARBOX        15%            47%            26%            32             0.9880372262824061
GEARBOX        15%            45%            27%            38             0.9948673380922516
GEARBOX        15%            43%            28%            42             0.9957402514557172
GEARBOX        15%            41%            29%            47             0.9986218731666685
GEARBOX        15%            39%            30%            54             0.9997999744593401
GEARBOX        15%            37%            31%            60             0.9999247549846081
GEARBOX        15%            35%            32%            69             0.9999962492021585
GEARBOX        15%            33%            33%            79             0.9999998077881065
 
 
ARETE          15%            99%            0%             8              0.26909924639416344
ARETE          15%            98%            1%             8              0.656990052007372
ARETE          15%            97%            2%             8              0.656990052007372
ARETE          15%            96%            3%             8              0.656990052007372
ARETE          15%            95%            4%             8              0.656990052007372
ARETE          15%            94%            5%             8              0.656990052007372
ARETE          15%            93%            6%             8              0.656990052007372
ARETE          15%            92%            7%             8              0.656990052007372
ARETE          15%            91%            8%             8              0.656990052007372
ARETE          15%            90%            9%             8              0.656990052007372
ARETE          15%            89%            10%            8              0.656990052007372
ARETE          15%            88%            11%            8              0.656990052007372
ARETE          15%            87%            12%            10             0.8223545997772261
ARETE          15%            86%            13%            10             0.8223545997772261
ARETE          15%            85%            14%            10             0.8223545997772261
ARETE          15%            84%            15%            10             0.8223545997772261
ARETE          15%            83%            16%            10             0.8223545997772261
ARETE          15%            82%            17%            10             0.8223545997772261
ARETE          15%            81%            18%            10             0.8223545997772261
ARETE          15%            80%            19%            10             0.8223545997772261
ARETE          15%            79%            20%            12             0.9109241331234115
ARETE          15%            78%            21%            12             0.9109241331234115
ARETE          15%            77%            22%            12             0.9109241331234115
ARETE          15%            76%            23%            12             0.9109241331234115
ARETE          15%            75%            24%            12             0.9109241331234115
ARETE          15%            74%            25%            13             0.9682899413940933
ARETE          15%            73%            26%            13             0.9682899413940933
ARETE          15%            72%            27%            13             0.9682899413940933
ARETE          15%            71%            28%            13             0.9682899413940933
ARETE          15%            70%            29%            13             0.9682899413940933
ARETE          15%            69%            30%            15             0.9850888241942725
ARETE          15%            68%            31%            15             0.9850888241942725
ARETE          15%            67%            32%            15             0.9850888241942725
ARETE          15%            66%            33%            16             0.9953706847838791
ARETE          15%            65%            34%            16             0.9953706847838791
ARETE          15%            64%            35%            16             0.9953706847838791
ARETE          15%            63%            36%            16             0.9953706847838791
ARETE          15%            62%            37%            18             0.9978981011117664
ARETE          15%            61%            38%            20             0.9990530282303691
ARETE          15%            60%            39%            20             0.9990530282303691
ARETE          15%            59%            40%            21             0.9997384444424292
ARETE          15%            58%            41%            21             0.9997384444424292
ARETE          15%            57%            42%            23             0.9998851628966173
ARETE          15%            56%            43%            24             0.9999706089320723
ARETE          15%            55%            44%            24             0.9999706089320723
ARETE          15%            54%            45%            25             0.9999928794413133
ARETE          15%            53%            46%            25             0.9999928794413133
ARETE          15%            52%            47%            25             0.9999928794413133
ARETE          15%            51%            48%            28             0.9999993131177072
ARETE          15%            50%            49%            28             0.9999993131177072
