Total nodes: 500             Security parameter: 30              Total Byzantine ratio: 25             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          318            1-2^(30)       
RapidChain     33.3%          49%            49%            192            1-2^(30)       
AHL            30%            49%            49%            149            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          87             1-2^(30)       
RIVET          33.3%          49%            49%            192            1-2^(30)       
CoChain        33.3%          66%            66%            67             0.6545515646044384
 
GEARBOX        25%            99%            0%             15             0.012439835681187658
GEARBOX        25%            97%            1%             15             0.07705117059040334
GEARBOX        25%            95%            2%             15             0.07705117059040334
GEARBOX        25%            93%            3%             18             0.03698153633034015
GEARBOX        25%            91%            4%             18             0.03698153633034015
GEARBOX        25%            89%            5%             18             0.03698153633034015
GEARBOX        25%            87%            6%             20             0.08680940397904757
GEARBOX        25%            85%            7%             20             0.08680940397904757
GEARBOX        25%            83%            8%             22             0.05667350903531893
GEARBOX        25%            81%            9%             25             0.09051223122009004
GEARBOX        25%            79%            10%            27             0.06144012333567003
GEARBOX        25%            77%            11%            29             0.1082258548391564
GEARBOX        25%            75%            12%            31             0.07613970235609593
GEARBOX        25%            73%            13%            33             0.12376289338649292
GEARBOX        25%            71%            14%            34             0.10550365040759516
GEARBOX        25%            69%            15%            38             0.11852149926058682
GEARBOX        25%            67%            16%            42             0.13021451515130575
GEARBOX        25%            65%            17%            45             0.16044641725151773
GEARBOX        25%            63%            18%            50             0.1503031120578544
GEARBOX        25%            61%            19%            55             0.23196638986733673
GEARBOX        25%            59%            20%            60             0.21574117349997032
GEARBOX        25%            57%            21%            65             0.30041817949465677
GEARBOX        25%            55%            22%            71             0.36167149366762
GEARBOX        25%            53%            23%            82             0.3958606085597961
GEARBOX        25%            51%            24%            91             0.4790200087710953
GEARBOX        25%            49%            25%            100            0.5563676442239809
GEARBOX        25%            47%            26%            115            0.6694132014590735
GEARBOX        25%            45%            27%            134            0.8248327055543004
GEARBOX        25%            43%            28%            152            0.8909430537785893
GEARBOX        25%            41%            29%            176            0.9661976750152297
GEARBOX        25%            39%            30%            203            0.9878127132635073
GEARBOX        25%            37%            31%            238            0.9990494640968345
GEARBOX        25%            35%            32%            280            0.9999927165399742
GEARBOX        25%            33%            33%            328            0.9999999998889252
 
 
ARETE          25%            99%            0%             15             0.012439835681187658
ARETE          25%            98%            1%             15             0.07705117059040334
ARETE          25%            97%            2%             15             0.07705117059040334
ARETE          25%            96%            3%             15             0.07705117059040334
ARETE          25%            95%            4%             15             0.07705117059040334
ARETE          25%            94%            5%             15             0.07705117059040334
ARETE          25%            93%            6%             18             0.13065272740238085
ARETE          25%            92%            7%             18             0.13065272740238085
ARETE          25%            91%            8%             18             0.13065272740238085
ARETE          25%            90%            9%             18             0.13065272740238085
ARETE          25%            89%            10%            18             0.13065272740238085
ARETE          25%            88%            11%            20             0.21974059883638689
ARETE          25%            87%            12%            20             0.21974059883638689
ARETE          25%            86%            13%            20             0.21974059883638689
ARETE          25%            85%            14%            20             0.21974059883638689
ARETE          25%            84%            15%            22             0.31852607589153586
ARETE          25%            83%            16%            22             0.31852607589153586
ARETE          25%            82%            17%            22             0.31852607589153586
ARETE          25%            81%            18%            25             0.37375257088984964
ARETE          25%            80%            19%            25             0.37375257088984964
ARETE          25%            79%            20%            27             0.46834694197851084
ARETE          25%            78%            21%            27             0.46834694197851084
ARETE          25%            77%            22%            29             0.5567970498106519
ARETE          25%            76%            23%            29             0.5567970498106519
ARETE          25%            75%            24%            31             0.6363871225786129
ARETE          25%            74%            25%            33             0.7058583506523227
ARETE          25%            73%            26%            33             0.7058583506523227
ARETE          25%            72%            27%            34             0.7968162376444327
ARETE          25%            71%            28%            34             0.7968162376444327
ARETE          25%            70%            29%            36             0.8413914560205256
ARETE          25%            69%            30%            38             0.8773511557537998
ARETE          25%            68%            31%            40             0.9059698481063109
ARETE          25%            67%            32%            42             0.928478080298143
ARETE          25%            66%            33%            43             0.9562683768673332
ARETE          25%            65%            34%            45             0.967492761887303
ARETE          25%            64%            35%            47             0.9759808557543844
ARETE          25%            63%            36%            50             0.9776557059937688
ARETE          25%            62%            37%            50             0.9900193293056183
ARETE          25%            61%            38%            55             0.9932250481547211
ARETE          25%            60%            39%            55             0.9972283425598378
ARETE          25%            59%            40%            60             0.9981365514790255
ARETE          25%            58%            41%            63             0.9993242766749373
ARETE          25%            57%            42%            65             0.9998347091319769
ARETE          25%            56%            43%            68             0.999946688863977
ARETE          25%            55%            44%            71             0.9999835467282981
ARETE          25%            54%            45%            76             0.9999967946106241
ARETE          25%            53%            46%            82             0.9999991087366912
ARETE          25%            52%            47%            85             0.9999997589420561
ARETE          25%            51%            48%            91             0.9999999844053542
ARETE          25%            50%            49%            94             0.9999999991479307
