Total nodes: 2000            Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          477            1-2^(20)       
RapidChain     33.3%          49%            49%            190            1-2^(20)       
AHL            30%            49%            49%            131            1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          69             1-2^(20)       
RIVET          33.3%          49%            49%            190            1-2^(20)       
CoChain        33.3%          66%            66%            47             0.6276806346307376
 
GEARBOX        15%            99%            0%             8              0.2718163114796745
GEARBOX        15%            97%            1%             8              0.657143628403017
GEARBOX        15%            95%            2%             8              0.657143628403017
GEARBOX        15%            93%            3%             8              0.657143628403017
GEARBOX        15%            91%            4%             8              0.657143628403017
GEARBOX        15%            89%            5%             8              0.657143628403017
GEARBOX        15%            87%            6%             10             0.5439772189258669
GEARBOX        15%            85%            7%             10             0.5439772189258669
GEARBOX        15%            83%            8%             10             0.5439772189258669
GEARBOX        15%            81%            9%             10             0.5439772189258669
GEARBOX        15%            79%            10%            12             0.7361210064681633
GEARBOX        15%            77%            11%            12             0.7361210064681633
GEARBOX        15%            75%            12%            12             0.7361210064681633
GEARBOX        15%            73%            13%            13             0.6921559849458214
GEARBOX        15%            71%            14%            13             0.6921559849458214
GEARBOX        15%            69%            15%            15             0.8233533236000891
GEARBOX        15%            67%            16%            15             0.8233533236000891
GEARBOX        15%            65%            17%            17             0.7562013417086266
GEARBOX        15%            63%            18%            18             0.8803947756878646
GEARBOX        15%            61%            19%            20             0.8308400176309967
GEARBOX        15%            59%            20%            23             0.8823657647088167
GEARBOX        15%            57%            21%            23             0.8823657647088167
GEARBOX        15%            55%            22%            26             0.918027020035304
GEARBOX        15%            53%            23%            29             0.9427760439444934
GEARBOX        15%            51%            24%            30             0.973213491305856
GEARBOX        15%            49%            25%            33             0.9814050175113538
GEARBOX        15%            47%            26%            39             0.9909882689844244
GEARBOX        15%            45%            27%            40             0.9888118953550981
GEARBOX        15%            43%            28%            47             0.9975692781382052
GEARBOX        15%            41%            29%            54             0.9985030471036755
GEARBOX        15%            39%            30%            62             0.9995971031658897
GEARBOX        15%            37%            31%            73             0.9999255690113981
GEARBOX        15%            35%            32%            83             0.9999896067167103
GEARBOX        15%            33%            33%            100            0.9999991249732183
 
 
ARETE          15%            99%            0%             8              0.2718163114796745
ARETE          15%            98%            1%             8              0.657143628403017
ARETE          15%            97%            2%             8              0.657143628403017
ARETE          15%            96%            3%             8              0.657143628403017
ARETE          15%            95%            4%             8              0.657143628403017
ARETE          15%            94%            5%             8              0.657143628403017
ARETE          15%            93%            6%             8              0.657143628403017
ARETE          15%            92%            7%             8              0.657143628403017
ARETE          15%            91%            8%             8              0.657143628403017
ARETE          15%            90%            9%             8              0.657143628403017
ARETE          15%            89%            10%            8              0.657143628403017
ARETE          15%            88%            11%            8              0.657143628403017
ARETE          15%            87%            12%            10             0.8206203412110161
ARETE          15%            86%            13%            10             0.8206203412110161
ARETE          15%            85%            14%            10             0.8206203412110161
ARETE          15%            84%            15%            10             0.8206203412110161
ARETE          15%            83%            16%            10             0.8206203412110161
ARETE          15%            82%            17%            10             0.8206203412110161
ARETE          15%            81%            18%            10             0.8206203412110161
ARETE          15%            80%            19%            10             0.8206203412110161
ARETE          15%            79%            20%            12             0.908410505357214
ARETE          15%            78%            21%            12             0.908410505357214
ARETE          15%            77%            22%            12             0.908410505357214
ARETE          15%            76%            23%            12             0.908410505357214
ARETE          15%            75%            24%            12             0.908410505357214
ARETE          15%            74%            25%            13             0.9663242164400149
ARETE          15%            73%            26%            13             0.9663242164400149
ARETE          15%            72%            27%            13             0.9663242164400149
ARETE          15%            71%            28%            13             0.9663242164400149
ARETE          15%            70%            29%            13             0.9663242164400149
ARETE          15%            69%            30%            15             0.9835722655480135
ARETE          15%            68%            31%            15             0.9835722655480135
ARETE          15%            67%            32%            15             0.9835722655480135
ARETE          15%            66%            33%            17             0.9919933775116839
ARETE          15%            65%            34%            17             0.9919933775116839
ARETE          15%            64%            35%            18             0.9974101489068529
ARETE          15%            63%            36%            18             0.9974101489068529
ARETE          15%            62%            37%            18             0.9974101489068529
ARETE          15%            61%            38%            20             0.9987531491129205
ARETE          15%            60%            39%            20             0.9987531491129205
ARETE          15%            59%            40%            23             0.9998190455837781
ARETE          15%            58%            41%            23             0.9998190455837781
ARETE          15%            57%            42%            23             0.9998190455837781
ARETE          15%            56%            43%            25             0.9999131036603542
ARETE          15%            55%            44%            26             0.9999750141628331
ARETE          15%            54%            45%            26             0.9999750141628331
ARETE          15%            53%            46%            29             0.9999966771520273
ARETE          15%            52%            47%            29             0.9999966771520273
ARETE          15%            51%            48%            30             0.9999991082194686
ARETE          15%            50%            49%            30             0.9999991082194686
