Total nodes: 2500            Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          501            1-2^(20)       
RapidChain     33.3%          49%            49%            194            1-2^(20)       
AHL            30%            49%            49%            133            1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          72             1-2^(20)       
RIVET          33.3%          49%            49%            194            1-2^(20)       
CoChain        33.3%          66%            66%            47             0.6274437807522614
 
GEARBOX        15%            99%            0%             8              0.27195131468455563
GEARBOX        15%            97%            1%             8              0.657151477127269
GEARBOX        15%            95%            2%             8              0.657151477127269
GEARBOX        15%            93%            3%             8              0.657151477127269
GEARBOX        15%            91%            4%             8              0.657151477127269
GEARBOX        15%            89%            5%             8              0.657151477127269
GEARBOX        15%            87%            6%             10             0.5440418563129256
GEARBOX        15%            85%            7%             10             0.5440418563129256
GEARBOX        15%            83%            8%             10             0.5440418563129256
GEARBOX        15%            81%            9%             10             0.5440418563129256
GEARBOX        15%            79%            10%            12             0.7360601070327271
GEARBOX        15%            77%            11%            12             0.7360601070327271
GEARBOX        15%            75%            12%            12             0.7360601070327271
GEARBOX        15%            73%            13%            14             0.6479530017425096
GEARBOX        15%            71%            14%            15             0.823213010589188
GEARBOX        15%            69%            15%            15             0.823213010589188
GEARBOX        15%            67%            16%            15             0.823213010589188
GEARBOX        15%            65%            17%            17             0.7560831253454087
GEARBOX        15%            63%            18%            18             0.8802026344737296
GEARBOX        15%            61%            19%            20             0.8306401646705002
GEARBOX        15%            59%            20%            23             0.8821158279172139
GEARBOX        15%            57%            21%            23             0.8821158279172139
GEARBOX        15%            55%            22%            26             0.9177549658317287
GEARBOX        15%            53%            23%            29             0.9425032057797647
GEARBOX        15%            51%            24%            30             0.9730152274551546
GEARBOX        15%            49%            25%            33             0.981228270510222
GEARBOX        15%            47%            26%            39             0.9908573535631546
GEARBOX        15%            45%            27%            40             0.9886568875471152
GEARBOX        15%            43%            28%            47             0.9975083258116761
GEARBOX        15%            41%            29%            54             0.9984550267038295
GEARBOX        15%            39%            30%            62             0.9995779404640598
GEARBOX        15%            37%            31%            73             0.9999201237076563
GEARBOX        15%            35%            32%            86             0.9999919516467681
GEARBOX        15%            33%            33%            104            0.9999997115872747
 
 
ARETE          15%            99%            0%             8              0.27195131468455563
ARETE          15%            98%            1%             8              0.657151477127269
ARETE          15%            97%            2%             8              0.657151477127269
ARETE          15%            96%            3%             8              0.657151477127269
ARETE          15%            95%            4%             8              0.657151477127269
ARETE          15%            94%            5%             8              0.657151477127269
ARETE          15%            93%            6%             8              0.657151477127269
ARETE          15%            92%            7%             8              0.657151477127269
ARETE          15%            91%            8%             8              0.657151477127269
ARETE          15%            90%            9%             8              0.657151477127269
ARETE          15%            89%            10%            8              0.657151477127269
ARETE          15%            88%            11%            8              0.657151477127269
ARETE          15%            87%            12%            10             0.8205352638485774
ARETE          15%            86%            13%            10             0.8205352638485774
ARETE          15%            85%            14%            10             0.8205352638485774
ARETE          15%            84%            15%            10             0.8205352638485774
ARETE          15%            83%            16%            10             0.8205352638485774
ARETE          15%            82%            17%            10             0.8205352638485774
ARETE          15%            81%            18%            10             0.8205352638485774
ARETE          15%            80%            19%            10             0.8205352638485774
ARETE          15%            79%            20%            12             0.9082867728329993
ARETE          15%            78%            21%            12             0.9082867728329993
ARETE          15%            77%            22%            12             0.9082867728329993
ARETE          15%            76%            23%            12             0.9082867728329993
ARETE          15%            75%            24%            12             0.9082867728329993
ARETE          15%            74%            25%            14             0.9537417760499054
ARETE          15%            73%            26%            14             0.9537417760499054
ARETE          15%            72%            27%            14             0.9537417760499054
ARETE          15%            71%            28%            15             0.9834958894300756
ARETE          15%            70%            29%            15             0.9834958894300756
ARETE          15%            69%            30%            15             0.9834958894300756
ARETE          15%            68%            31%            15             0.9834958894300756
ARETE          15%            67%            32%            15             0.9834958894300756
ARETE          15%            66%            33%            17             0.9919389325380695
ARETE          15%            65%            34%            17             0.9919389325380695
ARETE          15%            64%            35%            18             0.9973844812099902
ARETE          15%            63%            36%            18             0.9973844812099902
ARETE          15%            62%            37%            18             0.9973844812099902
ARETE          15%            61%            38%            20             0.9987369638839606
ARETE          15%            60%            39%            20             0.9987369638839606
ARETE          15%            59%            40%            23             0.9998152020025807
ARETE          15%            58%            41%            23             0.9998152020025807
ARETE          15%            57%            42%            23             0.9998152020025807
ARETE          15%            56%            43%            25             0.9999108690989225
ARETE          15%            55%            44%            26             0.9999742229188207
ARETE          15%            54%            45%            26             0.9999742229188207
ARETE          15%            53%            46%            29             0.9999965297367078
ARETE          15%            52%            47%            29             0.9999965297367078
ARETE          15%            51%            48%            30             0.9999990616036107
ARETE          15%            50%            49%            30             0.9999990616036107
