Total nodes: 500             Security parameter: 10              Total Byzantine ratio: 20             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          168            1-2^(10)       
RapidChain     33.3%          49%            49%            72             1-2^(10)       
AHL            30%            49%            49%            49             1-2^(10)       
Pyramid        12.5%          33.3%          33.3%          27             1-2^(10)       
RIVET          33.3%          49%            49%            72             1-2^(10)       
CoChain        33.3%          66%            66%            20             0.6758982218996378
 
Beacon/Order   20%            33.3%          33.3%          75             1-2^(10)       
 
GEARBOX        20%            99%            0%             5              0.32603460178734
GEARBOX        20%            97%            1%             5              0.737694452528931
GEARBOX        20%            95%            2%             5              0.737694452528931
GEARBOX        20%            93%            3%             5              0.737694452528931
GEARBOX        20%            91%            4%             5              0.737694452528931
GEARBOX        20%            89%            5%             5              0.737694452528931
GEARBOX        20%            87%            6%             5              0.737694452528931
GEARBOX        20%            85%            7%             5              0.737694452528931
GEARBOX        20%            83%            8%             5              0.737694452528931
GEARBOX        20%            81%            9%             5              0.737694452528931
GEARBOX        20%            79%            10%            7              0.5761637936873317
GEARBOX        20%            77%            11%            7              0.5761637936873317
GEARBOX        20%            75%            12%            7              0.5761637936873317
GEARBOX        20%            73%            13%            7              0.5761637936873317
GEARBOX        20%            71%            14%            9              0.7392732485986535
GEARBOX        20%            69%            15%            9              0.7392732485986535
GEARBOX        20%            67%            16%            9              0.7392732485986535
GEARBOX        20%            65%            17%            10             0.6784184092421354
GEARBOX        20%            63%            18%            10             0.6784184092421354
GEARBOX        20%            61%            19%            10             0.6784184092421354
GEARBOX        20%            59%            20%            12             0.7967372103876297
GEARBOX        20%            57%            21%            15             0.8389292024695667
GEARBOX        20%            55%            22%            15             0.8389292024695667
GEARBOX        20%            53%            23%            17             0.7610237767087109
GEARBOX        20%            51%            24%            18             0.8710922589649647
GEARBOX        20%            49%            25%            21             0.8961749035073473
GEARBOX        20%            47%            26%            24             0.916028243301932
GEARBOX        20%            45%            27%            27             0.9319019882721555
GEARBOX        20%            43%            28%            31             0.9318255035863477
GEARBOX        20%            41%            29%            37             0.9549024582478084
GEARBOX        20%            39%            30%            44             0.9842784064844787
GEARBOX        20%            37%            31%            52             0.9933796975149971
GEARBOX        20%            35%            32%            63             0.9978230914637013
GEARBOX        20%            33%            33%            79             0.9996727698880276
 
 
ARETE          20%            99%            0%             5              0.32603460178734
ARETE          20%            98%            1%             5              0.737694452528931
ARETE          20%            97%            2%             5              0.737694452528931
ARETE          20%            96%            3%             5              0.737694452528931
ARETE          20%            95%            4%             5              0.737694452528931
ARETE          20%            94%            5%             5              0.737694452528931
ARETE          20%            93%            6%             5              0.737694452528931
ARETE          20%            92%            7%             5              0.737694452528931
ARETE          20%            91%            8%             5              0.737694452528931
ARETE          20%            90%            9%             5              0.737694452528931
ARETE          20%            89%            10%            5              0.737694452528931
ARETE          20%            88%            11%            5              0.737694452528931
ARETE          20%            87%            12%            5              0.737694452528931
ARETE          20%            86%            13%            5              0.737694452528931
ARETE          20%            85%            14%            5              0.737694452528931
ARETE          20%            84%            15%            5              0.737694452528931
ARETE          20%            83%            16%            5              0.737694452528931
ARETE          20%            82%            17%            5              0.737694452528931
ARETE          20%            81%            18%            5              0.737694452528931
ARETE          20%            80%            19%            5              0.737694452528931
ARETE          20%            79%            20%            7              0.8533592041138152
ARETE          20%            78%            21%            7              0.8533592041138152
ARETE          20%            77%            22%            7              0.8533592041138152
ARETE          20%            76%            23%            7              0.8533592041138152
ARETE          20%            75%            24%            7              0.8533592041138152
ARETE          20%            74%            25%            7              0.8533592041138152
ARETE          20%            73%            26%            7              0.8533592041138152
ARETE          20%            72%            27%            7              0.8533592041138152
ARETE          20%            71%            28%            9              0.9162259413806778
ARETE          20%            70%            29%            9              0.9162259413806778
ARETE          20%            69%            30%            9              0.9162259413806778
ARETE          20%            68%            31%            9              0.9162259413806778
ARETE          20%            67%            32%            9              0.9162259413806778
ARETE          20%            66%            33%            10             0.9686630428059009
ARETE          20%            65%            34%            10             0.9686630428059009
ARETE          20%            64%            35%            10             0.9686630428059009
ARETE          20%            63%            36%            10             0.9686630428059009
ARETE          20%            62%            37%            10             0.9686630428059009
ARETE          20%            61%            38%            10             0.9686630428059009
ARETE          20%            60%            39%            10             0.9686630428059009
ARETE          20%            59%            40%            12             0.9818916973151112
ARETE          20%            58%            41%            14             0.9894727267699143
ARETE          20%            57%            42%            15             0.9963234572772545
ARETE          20%            56%            43%            15             0.9963234572772545
ARETE          20%            55%            44%            15             0.9963234572772545
ARETE          20%            54%            45%            15             0.9963234572772545
ARETE          20%            53%            46%            17             0.9978501627371898
ARETE          20%            52%            47%            18             0.9992856428338401
ARETE          20%            51%            48%            18             0.9992856428338401
ARETE          20%            50%            49%            18             0.9992856428338401
