Total nodes: 400             Security parameter: 30              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          270            1-2^(30)       
RapidChain     33.3%          49%            49%            176            1-2^(30)       
AHL            30%            49%            49%            139            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          84             1-2^(30)       
RIVET          33.3%          49%            49%            176            1-2^(30)       
CoChain        33.3%          66%            66%            67             0.657111772809049
 
GEARBOX        15%            99%            0%             11             0.16325446477866473
GEARBOX        15%            97%            1%             11             0.4897633943359942
GEARBOX        15%            95%            2%             11             0.4897633943359942
GEARBOX        15%            93%            3%             11             0.4897633943359942
GEARBOX        15%            91%            4%             11             0.4897633943359942
GEARBOX        15%            89%            5%             13             0.394293301319112
GEARBOX        15%            87%            6%             13             0.394293301319112
GEARBOX        15%            85%            7%             13             0.394293301319112
GEARBOX        15%            83%            8%             15             0.6036859113755987
GEARBOX        15%            81%            9%             15             0.6036859113755987
GEARBOX        15%            79%            10%            17             0.5173504351995241
GEARBOX        15%            77%            11%            17             0.5173504351995241
GEARBOX        15%            75%            12%            19             0.6859601899836109
GEARBOX        15%            73%            13%            20             0.648707747908767
GEARBOX        15%            71%            14%            20             0.648707747908767
GEARBOX        15%            69%            15%            22             0.7785336512152067
GEARBOX        15%            67%            16%            24             0.7169591295490707
GEARBOX        15%            65%            17%            25             0.8452256861647367
GEARBOX        15%            63%            18%            27             0.7967993722828091
GEARBOX        15%            61%            19%            28             0.8926691378060779
GEARBOX        15%            59%            20%            31             0.9261014635950232
GEARBOX        15%            57%            21%            34             0.9494737322344374
GEARBOX        15%            55%            22%            37             0.9656947570308754
GEARBOX        15%            53%            23%            38             0.9589809528147905
GEARBOX        15%            51%            24%            44             0.9812496014220489
GEARBOX        15%            49%            25%            45             0.9916383751032761
GEARBOX        15%            47%            26%            49             0.9932292038507965
GEARBOX        15%            45%            27%            56             0.9988356602609044
GEARBOX        15%            43%            28%            61             0.9996415878034548
GEARBOX        15%            41%            29%            69             0.9999375442070759
GEARBOX        15%            39%            30%            77             0.9999904338052196
GEARBOX        15%            37%            31%            87             0.9999977364567515
GEARBOX        15%            35%            32%            98             0.9999999729670415
GEARBOX        15%            33%            33%            113            0.9999999999023659
 
 
ARETE          15%            99%            0%             11             0.16325446477866473
ARETE          15%            98%            1%             11             0.4897633943359942
ARETE          15%            97%            2%             11             0.4897633943359942
ARETE          15%            96%            3%             11             0.4897633943359942
ARETE          15%            95%            4%             11             0.4897633943359942
ARETE          15%            94%            5%             11             0.4897633943359942
ARETE          15%            93%            6%             11             0.4897633943359942
ARETE          15%            92%            7%             11             0.4897633943359942
ARETE          15%            91%            8%             11             0.4897633943359942
ARETE          15%            90%            9%             13             0.6929564265323531
ARETE          15%            89%            10%            13             0.6929564265323531
ARETE          15%            88%            11%            13             0.6929564265323531
ARETE          15%            87%            12%            13             0.6929564265323531
ARETE          15%            86%            13%            13             0.6929564265323531
ARETE          15%            85%            14%            13             0.6929564265323531
ARETE          15%            84%            15%            15             0.8262340780848489
ARETE          15%            83%            16%            15             0.8262340780848489
ARETE          15%            82%            17%            15             0.8262340780848489
ARETE          15%            81%            18%            15             0.8262340780848489
ARETE          15%            80%            19%            15             0.8262340780848489
ARETE          15%            79%            20%            17             0.90586007799186
ARETE          15%            78%            21%            17             0.90586007799186
ARETE          15%            77%            22%            17             0.90586007799186
ARETE          15%            76%            23%            19             0.950667358749054
ARETE          15%            75%            24%            19             0.950667358749054
ARETE          15%            74%            25%            19             0.950667358749054
ARETE          15%            73%            26%            20             0.9809896863048306
ARETE          15%            72%            27%            20             0.9809896863048306
ARETE          15%            71%            28%            20             0.9809896863048306
ARETE          15%            70%            29%            20             0.9809896863048306
ARETE          15%            69%            30%            22             0.9907185533978846
ARETE          15%            68%            31%            24             0.9955479839983006
ARETE          15%            67%            32%            24             0.9955479839983006
ARETE          15%            66%            33%            25             0.9985337370523386
ARETE          15%            65%            34%            25             0.9985337370523386
ARETE          15%            64%            35%            25             0.9985337370523386
ARETE          15%            63%            36%            27             0.9993283545128564
ARETE          15%            62%            37%            28             0.9997985644760726
ARETE          15%            61%            38%            28             0.9997985644760726
ARETE          15%            60%            39%            30             0.9999111862707444
ARETE          15%            59%            40%            31             0.9999754427398668
ARETE          15%            58%            41%            33             0.9999895381441896
ARETE          15%            57%            42%            34             0.99999731174047
ARETE          15%            56%            43%            34             0.99999731174047
ARETE          15%            55%            44%            37             0.9999997339967949
ARETE          15%            54%            45%            38             0.999999939082258
ARETE          15%            53%            46%            38             0.999999939082258
ARETE          15%            52%            47%            41             0.9999999948684795
ARETE          15%            51%            48%            44             0.999999999607314
ARETE          15%            50%            49%            44             0.999999999607314
