Total nodes: 100             Security parameter: 30              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          75             1-2^(30)       
RapidChain     33.3%          49%            49%            68             1-2^(30)       
AHL            30%            49%            49%            62             1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          36             1-2^(30)       
RIVET          33.3%          49%            49%            68             1-2^(30)       
CoChain        33.3%          66%            66%            41             0.6637161371650266
 
Beacon/Order   15%            33.3%          33.3%          45             1-2^(30)       
 
GEARBOX        15%            99%            0%             10             0.18076873094096244
GEARBOX        15%            97%            1%             10             0.5375491209560198
GEARBOX        15%            95%            2%             10             0.5375491209560198
GEARBOX        15%            93%            3%             10             0.5375491209560198
GEARBOX        15%            91%            4%             10             0.5375491209560198
GEARBOX        15%            89%            5%             12             0.4299181428745736
GEARBOX        15%            87%            6%             12             0.4299181428745736
GEARBOX        15%            85%            7%             12             0.4299181428745736
GEARBOX        15%            83%            8%             13             0.6965012432790828
GEARBOX        15%            81%            9%             13             0.6965012432790828
GEARBOX        15%            79%            10%            13             0.6965012432790828
GEARBOX        15%            77%            11%            13             0.6965012432790828
GEARBOX        15%            75%            12%            15             0.6021650779706529
GEARBOX        15%            73%            13%            16             0.805102144472699
GEARBOX        15%            71%            14%            16             0.805102144472699
GEARBOX        15%            69%            15%            16             0.805102144472699
GEARBOX        15%            67%            16%            18             0.7318358411042919
GEARBOX        15%            65%            17%            19             0.8782800723192872
GEARBOX        15%            63%            18%            21             0.8255367963495449
GEARBOX        15%            61%            19%            22             0.9266089762401732
GEARBOX        15%            59%            20%            23             0.9098398362884853
GEARBOX        15%            57%            21%            23             0.9098398362884853
GEARBOX        15%            55%            22%            24             0.9666080936141129
GEARBOX        15%            53%            23%            27             0.982011581227362
GEARBOX        15%            51%            24%            28             0.9768478743356602
GEARBOX        15%            49%            25%            29             0.9931637537504122
GEARBOX        15%            47%            26%            30             0.9909423429380751
GEARBOX        15%            45%            27%            34             0.9990788082491421
GEARBOX        15%            43%            28%            35             0.9987283719516761
GEARBOX        15%            41%            29%            37             0.9996806029454269
GEARBOX        15%            39%            30%            39             0.99993759599919
GEARBOX        15%            37%            31%            41             0.9999915425348785
GEARBOX        15%            35%            32%            43             0.9999994018569075
GEARBOX        15%            33%            33%            46             1.0            
 
 
ARETE          15%            99%            0%             10             0.18076873094096244
ARETE          15%            98%            1%             10             0.5375491209560198
ARETE          15%            97%            2%             10             0.5375491209560198
ARETE          15%            96%            3%             10             0.5375491209560198
ARETE          15%            95%            4%             10             0.5375491209560198
ARETE          15%            94%            5%             10             0.5375491209560198
ARETE          15%            93%            6%             10             0.5375491209560198
ARETE          15%            92%            7%             10             0.5375491209560198
ARETE          15%            91%            8%             10             0.5375491209560198
ARETE          15%            90%            9%             10             0.5375491209560198
ARETE          15%            89%            10%            12             0.742708980682531
ARETE          15%            88%            11%            12             0.742708980682531
ARETE          15%            87%            12%            12             0.742708980682531
ARETE          15%            86%            13%            12             0.742708980682531
ARETE          15%            85%            14%            12             0.742708980682531
ARETE          15%            84%            15%            12             0.742708980682531
ARETE          15%            83%            16%            13             0.8967347720273586
ARETE          15%            82%            17%            13             0.8967347720273586
ARETE          15%            81%            18%            13             0.8967347720273586
ARETE          15%            80%            19%            13             0.8967347720273586
ARETE          15%            79%            20%            13             0.8967347720273586
ARETE          15%            78%            21%            13             0.8967347720273586
ARETE          15%            77%            22%            13             0.8967347720273586
ARETE          15%            76%            23%            15             0.9534167573105513
ARETE          15%            75%            24%            15             0.9534167573105513
ARETE          15%            74%            25%            15             0.9534167573105513
ARETE          15%            73%            26%            16             0.9861451490796336
ARETE          15%            72%            27%            16             0.9861451490796336
ARETE          15%            71%            28%            16             0.9861451490796336
ARETE          15%            70%            29%            16             0.9861451490796336
ARETE          15%            69%            30%            16             0.9861451490796336
ARETE          15%            68%            31%            18             0.9947939704237121
ARETE          15%            67%            32%            18             0.9947939704237121
ARETE          15%            66%            33%            19             0.9988343958652989
ARETE          15%            65%            34%            19             0.9988343958652989
ARETE          15%            64%            35%            19             0.9988343958652989
ARETE          15%            63%            36%            21             0.9996439358393205
ARETE          15%            62%            37%            21             0.9996439358393205
ARETE          15%            61%            38%            22             0.999941941858367
ARETE          15%            60%            39%            22             0.999941941858367
ARETE          15%            59%            40%            23             0.9999923736462057
ARETE          15%            58%            41%            23             0.9999923736462057
ARETE          15%            57%            42%            23             0.9999923736462057
ARETE          15%            56%            43%            24             0.9999992209373527
ARETE          15%            55%            44%            24             0.9999992209373527
ARETE          15%            54%            45%            26             0.9999998862611889
ARETE          15%            53%            46%            27             0.9999999941515406
ARETE          15%            52%            47%            27             0.9999999941515406
ARETE          15%            51%            48%            28             0.999999999852205
ARETE          15%            50%            49%            28             0.999999999852205
