Total nodes: 100             Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          75             1-2^(20)       
RapidChain     33.3%          49%            49%            62             1-2^(20)       
AHL            30%            49%            49%            56             1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          33             1-2^(20)       
RIVET          33.3%          49%            49%            62             1-2^(20)       
CoChain        33.3%          66%            66%            32             0.6684551721334138
 
Beacon/Order   15%            33.3%          33.3%          42             1-2^(20)       
 
GEARBOX        15%            99%            0%             7              0.30834474918877086
GEARBOX        15%            97%            1%             7              0.7181700487434662
GEARBOX        15%            95%            2%             7              0.7181700487434662
GEARBOX        15%            93%            3%             7              0.7181700487434662
GEARBOX        15%            91%            4%             7              0.7181700487434662
GEARBOX        15%            89%            5%             7              0.7181700487434662
GEARBOX        15%            87%            6%             7              0.7181700487434662
GEARBOX        15%            85%            7%             9              0.5959313665948475
GEARBOX        15%            83%            8%             9              0.5959313665948475
GEARBOX        15%            81%            9%             9              0.5959313665948475
GEARBOX        15%            79%            10%            9              0.5959313665948475
GEARBOX        15%            77%            11%            11             0.78729539396656
GEARBOX        15%            75%            12%            11             0.78729539396656
GEARBOX        15%            73%            13%            11             0.78729539396656
GEARBOX        15%            71%            14%            12             0.742708980682531
GEARBOX        15%            69%            15%            12             0.742708980682531
GEARBOX        15%            67%            16%            12             0.742708980682531
GEARBOX        15%            65%            17%            14             0.8691163542689757
GEARBOX        15%            63%            18%            15             0.8384616622538573
GEARBOX        15%            61%            19%            15             0.8384616622538573
GEARBOX        15%            59%            20%            17             0.9210661824738683
GEARBOX        15%            57%            21%            18             0.9009686151835822
GEARBOX        15%            55%            22%            19             0.9644965352036083
GEARBOX        15%            53%            23%            19             0.9644965352036083
GEARBOX        15%            51%            24%            22             0.9803188302883332
GEARBOX        15%            49%            25%            23             0.9741215394366225
GEARBOX        15%            47%            26%            24             0.9923684792912885
GEARBOX        15%            45%            27%            27             0.9962900131627493
GEARBOX        15%            43%            28%            28             0.9949208484566163
GEARBOX        15%            41%            29%            32             0.9995373171121862
GEARBOX        15%            39%            30%            34             0.9998927248109988
GEARBOX        15%            37%            31%            38             0.9999571535480077
GEARBOX        15%            35%            32%            40             0.9999943449523169
GEARBOX        15%            33%            33%            43             1.0            
 
 
ARETE          15%            99%            0%             7              0.30834474918877086
ARETE          15%            98%            1%             7              0.7181700487434662
ARETE          15%            97%            2%             7              0.7181700487434662
ARETE          15%            96%            3%             7              0.7181700487434662
ARETE          15%            95%            4%             7              0.7181700487434662
ARETE          15%            94%            5%             7              0.7181700487434662
ARETE          15%            93%            6%             7              0.7181700487434662
ARETE          15%            92%            7%             7              0.7181700487434662
ARETE          15%            91%            8%             7              0.7181700487434662
ARETE          15%            90%            9%             7              0.7181700487434662
ARETE          15%            89%            10%            7              0.7181700487434662
ARETE          15%            88%            11%            7              0.7181700487434662
ARETE          15%            87%            12%            7              0.7181700487434662
ARETE          15%            86%            13%            7              0.7181700487434662
ARETE          15%            85%            14%            9              0.8683818462427095
ARETE          15%            84%            15%            9              0.8683818462427095
ARETE          15%            83%            16%            9              0.8683818462427095
ARETE          15%            82%            17%            9              0.8683818462427095
ARETE          15%            81%            18%            9              0.8683818462427095
ARETE          15%            80%            19%            9              0.8683818462427095
ARETE          15%            79%            20%            9              0.8683818462427095
ARETE          15%            78%            21%            9              0.8683818462427095
ARETE          15%            77%            22%            11             0.9419002296397516
ARETE          15%            76%            23%            11             0.9419002296397516
ARETE          15%            75%            24%            11             0.9419002296397516
ARETE          15%            74%            25%            11             0.9419002296397516
ARETE          15%            73%            26%            11             0.9419002296397516
ARETE          15%            72%            27%            12             0.9835914212819605
ARETE          15%            71%            28%            12             0.9835914212819605
ARETE          15%            70%            29%            12             0.9835914212819605
ARETE          15%            69%            30%            12             0.9835914212819605
ARETE          15%            68%            31%            12             0.9835914212819605
ARETE          15%            67%            32%            12             0.9835914212819605
ARETE          15%            66%            33%            14             0.9937626344153615
ARETE          15%            65%            34%            14             0.9937626344153615
ARETE          15%            64%            35%            15             0.998643184065137
ARETE          15%            63%            36%            15             0.998643184065137
ARETE          15%            62%            37%            15             0.998643184065137
ARETE          15%            61%            38%            15             0.998643184065137
ARETE          15%            60%            39%            15             0.998643184065137
ARETE          15%            59%            40%            17             0.9995630475645545
ARETE          15%            58%            41%            18             0.9999278587505716
ARETE          15%            57%            42%            18             0.9999278587505716
ARETE          15%            56%            43%            18             0.9999278587505716
ARETE          15%            55%            44%            19             0.9999901435872086
ARETE          15%            54%            45%            19             0.9999901435872086
ARETE          15%            53%            46%            19             0.9999901435872086
ARETE          15%            52%            47%            22             0.9999997998207469
ARETE          15%            51%            48%            22             0.9999997998207469
ARETE          15%            50%            49%            22             0.9999997998207469
