Total nodes: 200             Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          141            1-2^(20)       
RapidChain     33.3%          49%            49%            94             1-2^(20)       
AHL            30%            49%            49%            80             1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          48             1-2^(20)       
RIVET          33.3%          49%            49%            94             1-2^(20)       
CoChain        33.3%          66%            66%            38             0.6477456681700117
 
Beacon/Order   15%            33.3%          33.3%          63             1-2^(20)       
 
GEARBOX        15%            99%            0%             7              0.31455048418030684
GEARBOX        15%            97%            1%             7              0.7173285431916754
GEARBOX        15%            95%            2%             7              0.7173285431916754
GEARBOX        15%            93%            3%             7              0.7173285431916754
GEARBOX        15%            91%            4%             7              0.7173285431916754
GEARBOX        15%            89%            5%             7              0.7173285431916754
GEARBOX        15%            87%            6%             7              0.7173285431916754
GEARBOX        15%            85%            7%             9              0.597727409705324
GEARBOX        15%            83%            8%             9              0.597727409705324
GEARBOX        15%            81%            9%             9              0.597727409705324
GEARBOX        15%            79%            10%            9              0.597727409705324
GEARBOX        15%            77%            11%            11             0.7828186680840393
GEARBOX        15%            75%            12%            11             0.7828186680840393
GEARBOX        15%            73%            13%            11             0.7828186680840393
GEARBOX        15%            71%            14%            13             0.6940375350900301
GEARBOX        15%            69%            15%            14             0.8608680102965763
GEARBOX        15%            67%            16%            14             0.8608680102965763
GEARBOX        15%            65%            17%            14             0.8608680102965763
GEARBOX        15%            63%            18%            16             0.7969330768542008
GEARBOX        15%            61%            19%            19             0.8661007121495556
GEARBOX        15%            59%            20%            19             0.8661007121495556
GEARBOX        15%            57%            21%            20             0.9428591986351331
GEARBOX        15%            55%            22%            20             0.9428591986351331
GEARBOX        15%            53%            23%            23             0.9637382182659036
GEARBOX        15%            51%            24%            26             0.9772431411937237
GEARBOX        15%            49%            25%            27             0.9711286122732236
GEARBOX        15%            47%            26%            30             0.9820082182920553
GEARBOX        15%            45%            27%            34             0.9960909097816589
GEARBOX        15%            43%            28%            35             0.9948763178158209
GEARBOX        15%            41%            29%            42             0.999469240063374
GEARBOX        15%            39%            30%            44             0.9997927351361188
GEARBOX        15%            37%            31%            49             0.9999621113278445
GEARBOX        15%            35%            32%            58             0.9999965468856983
GEARBOX        15%            33%            33%            64             0.9999999425510123
 
 
ARETE          15%            99%            0%             7              0.31455048418030684
ARETE          15%            98%            1%             7              0.7173285431916754
ARETE          15%            97%            2%             7              0.7173285431916754
ARETE          15%            96%            3%             7              0.7173285431916754
ARETE          15%            95%            4%             7              0.7173285431916754
ARETE          15%            94%            5%             7              0.7173285431916754
ARETE          15%            93%            6%             7              0.7173285431916754
ARETE          15%            92%            7%             7              0.7173285431916754
ARETE          15%            91%            8%             7              0.7173285431916754
ARETE          15%            90%            9%             7              0.7173285431916754
ARETE          15%            89%            10%            7              0.7173285431916754
ARETE          15%            88%            11%            7              0.7173285431916754
ARETE          15%            87%            12%            7              0.7173285431916754
ARETE          15%            86%            13%            7              0.7173285431916754
ARETE          15%            85%            14%            9              0.8635877606478761
ARETE          15%            84%            15%            9              0.8635877606478761
ARETE          15%            83%            16%            9              0.8635877606478761
ARETE          15%            82%            17%            9              0.8635877606478761
ARETE          15%            81%            18%            9              0.8635877606478761
ARETE          15%            80%            19%            9              0.8635877606478761
ARETE          15%            79%            20%            9              0.8635877606478761
ARETE          15%            78%            21%            9              0.8635877606478761
ARETE          15%            77%            22%            11             0.9360662691072767
ARETE          15%            76%            23%            11             0.9360662691072767
ARETE          15%            75%            24%            11             0.9360662691072767
ARETE          15%            74%            25%            11             0.9360662691072767
ARETE          15%            73%            26%            11             0.9360662691072767
ARETE          15%            72%            27%            13             0.9707682334727211
ARETE          15%            71%            28%            13             0.9707682334727211
ARETE          15%            70%            29%            13             0.9707682334727211
ARETE          15%            69%            30%            14             0.9912269862358221
ARETE          15%            68%            31%            14             0.9912269862358221
ARETE          15%            67%            32%            14             0.9912269862358221
ARETE          15%            66%            33%            14             0.9912269862358221
ARETE          15%            65%            34%            14             0.9912269862358221
ARETE          15%            64%            35%            16             0.996255958931392
ARETE          15%            63%            36%            16             0.996255958931392
ARETE          15%            62%            37%            18             0.9984377389830748
ARETE          15%            61%            38%            19             0.9996103609965107
ARETE          15%            60%            39%            19             0.9996103609965107
ARETE          15%            59%            40%            19             0.9996103609965107
ARETE          15%            58%            41%            19             0.9996103609965107
ARETE          15%            57%            42%            20             0.9999112547973801
ARETE          15%            56%            43%            20             0.9999112547973801
ARETE          15%            55%            44%            20             0.9999112547973801
ARETE          15%            54%            45%            23             0.9999932421667982
ARETE          15%            53%            46%            23             0.9999932421667982
ARETE          15%            52%            47%            25             0.9999976208448067
ARETE          15%            51%            48%            26             0.9999995757836224
ARETE          15%            50%            49%            26             0.9999995757836224
